춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
82.5,82,83.5,84.5,82,77.4,82.3,78.9,70.3,77.7,74.2,76.4,73.9,65.2,,68.6,76.2,75
82.3,81.5,83.4,84.2,82.7,77.7,83.6,78.5,73.2,77.4,74.7,77.2,70.6,64.9,,69.1,75.8,75.8
82.3,81.5,83.4,84.4,84.6,78,83,78.8,73.8,76,76,75.2,69.5,66.4,,67.7,76.2,76
82,81.2,83.5,83.4,78.8,78.1,82.8,78.2,71.5,76.7,74.9,75.6,64.9,64.4,,70,74.9,74.9
81.3,81,82.4,83.1,80.2,78.2,79.9,77.9,70.5,75.3,76.7,73.6,67,66.1,,66.1,72.2,75.7
81.1,80.1,81.9,83.5,79.1,78.9,79.8,79.4,70.3,79.4,78,76.8,66.8,62,73.1,65.5,75.7,75.9
80.6,79.8,81.3,83.1,80.8,78.4,80.8,80,68,79.1,73.6,77,67.5,63.2,72.9,68.2,74.3,74.8
80.2,79.5,81.8,82.2,83.3,77.8,80.9,78,69.1,76,72.1,75.8,67.4,63.1,71.5,69.2,73.3,76.3
80.4,79.6,81.2,81.3,82.1,77.6,78,76.2,67.2,78.5,71.6,74.1,66.5,58.4,68.5,70.3,70.7,72.8
79.9,79.1,81.1,80.5,82.2,76.8,80.2,77.2,67,78.5,73,74.8,65.4,62.1,67.1,74.5,68.6,71.6
