수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
65.9,66.2,67.8,65.4,62.9,59.8,54.5,73.4,70.1,58.4,68.6,61.9,75.8,78.9,69.5,67.2,69.3,70.3,70.9,50,58.9,68.8,73.4,68.6,64.2,60.3,65.2,81.4,70.2,67.9,75.2,80.1,77.5,69.1,65.9,72.6,70.2,76.7,82.8,75.5,81.1,81
66.8,67,69.3,67.5,63,60.3,54.9,74.9,71.7,60.4,69.8,64,77.3,80.1,71.2,68.5,71.3,70.8,71.3,51,59.9,70.9,75.7,70.5,64.9,63.4,66.2,81.7,71.3,69.3,76.7,81.2,79.3,70.3,68.2,73.7,72,78.2,82.4,74.6,81.3,80
68.1,67.3,73.2,68.7,63.1,61.1,54.5,75.5,70.4,61,69.3,64.7,77.4,79.5,70.4,68.1,71.6,69.7,69.9,53.3,60,71.4,76.8,70.8,65.1,64.8,66,80.7,71,69.9,78.1,81.4,79.4,70.2,69.6,73.5,72.5,79,81.7,73.6,78,79.6
68.5,67,72.2,68.5,63.3,61.7,54.2,75,70.7,61.4,69.5,64.3,77.3,79.9,69.8,68.3,72.3,70.4,69.5,53.7,60.5,71.7,77.5,70.6,66.3,66.4,66.8,80.9,71.3,69.5,78.5,82,79.6,70.5,69.6,74,71.9,79.8,82.4,73.7,76.8,79.5
68.2,67.7,70.5,67.7,62.7,63.2,53.6,74.8,70.5,61.5,69.4,63,77.3,79.3,69.7,68,71.8,69.5,68.9,54,61,71.2,78.7,70.5,66.3,66.9,66.4,81.5,71.2,68.7,78,83.9,80.2,69.9,69.1,73.7,71.5,79.2,83.9,74,77.1,79.3
68.3,68.3,71,68.2,63.4,60.3,53.9,74.5,69.6,63.7,69.5,63.2,78,80.3,69.9,68.1,71.2,69.6,67.8,58.3,61,71.1,78.4,70.1,67.9,67.9,67.1,80.7,70.9,69.8,78,84.6,81.3,70.6,70.2,73.5,71.7,79.1,83.4,73.3,77.5,76.4
69.1,69.5,73.1,69.2,63.7,59.9,55.1,74.8,67.8,64.7,69.9,63.4,78,80.5,70.1,67.9,71.2,69.5,67,54.6,61.7,72,77.7,70.6,69,69.4,67.8,80.4,71.6,70.8,78.2,84.3,81,70.3,71.8,73.2,71.5,76.9,83.2,73.7,77.8,73.6
69,70.8,72.6,70.3,62.4,59.8,56.6,74.7,68,67.2,69.4,64.6,77.9,81.9,69.5,66.7,71.5,68.8,67.3,52.7,61.8,71.6,78.6,70.1,70.8,69.1,66.8,80.7,72,72.1,78.1,84.7,81.8,69.6,70.9,72.3,67.9,76.3,83.7,73,75.3,74
68.7,71.3,72.9,70.4,63,62.2,56.8,75.7,67.2,68.8,69.2,65.3,78,83.1,69.1,65.2,71,69.1,67.9,53.7,60.7,71.5,77.9,69,72.1,69.9,66.7,78.9,72.6,72,77.8,85.1,82.8,69.3,70,72.8,65.8,74.3,84.4,72.1,73.9,74.9
69.4,71.7,71.5,69.1,64.5,61.6,56.7,75.1,66.3,68,69.7,65.8,77.1,79.8,67.4,64.1,72,70.1,68.3,52.6,59.6,70.8,77.5,68.1,71.5,68.6,66.8,76.7,71.2,71.2,77.4,85.3,80.2,68.3,67.8,72.7,63.2,72.5,83.8,70.6,72.5,74
