창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,
83.8,74.6,83,83.7,82,83.4,83.2,93.4,85,86.1,74.5,76.5,81,86,74,81.1,55.8,71.5,62.5,78.7,85.5,68.6,
84.3,75.2,81.9,84,80.7,82.6,81.2,91,84.1,84.6,74.1,75.6,,83.7,73.9,80.7,57.4,63,59.7,74.9,84.1,69,
84.9,77.7,83.5,85,82.3,82.8,81.9,90.3,83.7,83.2,74.5,76.1,,83.8,75.1,76.5,,62.5,,75.5,84,67.8,
86.4,77.5,84,85.4,82.7,83.2,81.3,90.5,83.7,82.6,74.3,75.8,,84,75.5,72.9,53.6,61.1,60.2,74.3,80.8,65.4,
86.2,76.8,85.7,86.1,83.2,83.1,79.9,90,83.6,82.1,73.9,75.3,,82.6,71.2,75.1,53.8,60.5,65.2,72,80.1,66.2,
85.6,77.1,86.1,85.7,82.8,82.9,79.7,89.1,83.5,81.7,74.4,74.7,,83.8,70.3,76,65.4,55.4,65.4,68.7,73,,
85.8,77.4,86.5,85.5,82.3,82.3,76.9,87.3,83.2,80.7,74.7,74.4,,84.6,73.5,77.9,59.1,55.8,65.2,71.2,75,,
85.4,78.5,86.5,85.5,82.6,82,76.1,87,82.7,80.4,74.4,73.6,,84.4,74.2,78.3,58.2,57.7,61.3,63.2,74.4,,
84.9,78.4,85.8,85.3,82.6,81.8,76.2,87.2,82.7,81,74.5,73,,85,78.1,79.6,48.4,56,55.6,68.3,74.6,,
83.2,78,84.4,86.4,82.6,82,76.4,86.8,82,81.8,74.1,72.3,,85,77.9,75,,56.3,62.4,68.3,75.4,,
