포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군
89,90.1,84.9,86.5,77.8,91,85.5,81.1,79.7,76.8,83.8,,,,70.6,,77.1,79.4,80.1,72.8,,83,
88.1,89.9,84.5,86.3,77.8,90.9,84.8,79.7,77.8,76.2,83.9,,,,,100.1,70.3,79.4,80.3,74.1,,84.2,
87.4,90.8,84,86.2,77.7,91.7,80.6,79.1,76.2,74.1,83.2,,,,,107,,,79.5,70.4,,76.7,
88.8,91.1,83.4,86.1,77.7,92,82.8,79.1,75.8,74.5,82.7,,,,,102.5,72.4,77.2,79.6,70.2,,75.6,
90,91.5,82.7,88.1,79,92.5,85.4,78.1,74.7,76.1,82.7,,,,,102.5,71.8,77.3,80.1,70.1,,74,
89.5,91.4,82.2,86.6,79.4,92.2,84.1,78.5,77.1,76.9,81.8,,,,,99.6,71.6,,80.6,70.8,,81.1,
89.6,90.9,81.5,83.7,79.3,91.6,84.7,77.4,74.7,77,81.1,,,,,94.1,71.8,,81.5,70.7,,,
89.4,91.1,83.2,83.1,81.1,92,83.8,77.3,73,76.5,80.4,,,,,95.3,69.1,,81,67.9,,,
90.7,90.3,83.4,84.8,81.4,91,82.2,76.7,72,76.7,79.9,,,,,95.4,67.2,,81.6,69.4,,,
89.9,89.6,83,81.7,83.3,89.5,78.8,79,71.5,78.5,78.5,,,,,96.3,70.5,,81.6,69.8,,81,
