중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
79.2,76.9,74.6,71.9,76.1,64.9,70.8,72.2,59,71.4,72.8,69.4,68.7,60.4,75.6,73.2
77.6,77.6,74.2,72.4,76.8,66.4,72.9,73.2,60.2,72.6,74,70.3,71.1,60.6,77.3,73.5
79.3,77.2,76.5,74.3,77.3,67.1,73.3,73.2,61.4,72.7,74.9,70.2,71,61.6,77.4,74.2
77.8,77.2,77.5,73.9,76.6,67.6,74.1,73.2,61.5,72.2,75.1,70.1,70.4,61.3,77.6,74.7
77.1,76.8,76.6,74.2,76.4,67.4,73.8,73.4,60.9,72.8,74,69.8,70.5,61.3,77.7,73.6
76.6,76.1,75.6,74.9,75.8,67.7,73,72.9,61.7,72.2,73.2,69.6,70.6,61.2,77.6,73.8
77.9,74.8,75.5,73.7,75.8,67.5,72.1,72.4,61.6,72.5,73,70.4,70.1,61,77,73.7
77.1,74.7,75.5,72.3,74.8,67.1,72.3,72,61.8,72,73,69.9,70.5,60.4,76.6,74
77,73.9,74.8,71.5,74.6,66.4,71.8,71.5,61.5,72,73.2,69.3,69.6,59.7,76.1,74.4
75.2,73.5,73.4,71.4,74.2,65.6,71.2,71,60.2,71.8,72.7,68.1,68.4,60.5,76.4,73.3
