종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
69.5,71.1,50.1,54,61.4,66.2,64.7,61.4,63.5,60.6,55.9,68.8,59.5,59.3,60,66.8,62.9,64.3,58.5,58.3,67,56.8,53.4,54.4,64.1
71.9,73.3,51.7,54.8,62.3,66.5,65.8,62.6,64.9,61.7,57.4,70.4,60.5,60.9,60,68.6,64,64.9,59.1,59.1,68.9,57.5,54.3,55.3,64
72.5,74.4,51.1,54.7,63.1,66.5,66.9,64.3,64.1,64.1,57.9,71,60.8,61.1,60,70.4,64.9,64.8,60.1,59.1,70.2,57.9,54.7,56.7,65.5
74.2,73.8,51.2,54.4,63.3,65.8,67.8,64.4,64,64.1,57.8,71.3,60.9,61.1,60.2,70.6,64.7,63.8,60.4,59.8,70.1,57.3,54.7,56.9,66.8
70.8,73.8,50.7,54,61.8,65.6,68.4,64.3,64.2,65.7,57.6,70.5,60.3,60.5,58.9,71.3,64.9,64.5,60.6,59.6,69.2,57.3,54.9,56.4,66.8
70.5,72.8,50.1,54.3,62.7,67,68.8,65.5,65.8,66.1,58.1,70.1,60.6,60.6,59,70.9,64.7,65.4,60.9,60.1,68.3,56.4,54.9,58,67
69.6,72.5,49.1,54.4,60.8,68,67.8,66.4,66,65,58.7,70,61.3,60.5,60,69.9,64.1,65.8,60.6,59.8,68.6,55.6,54.6,58.6,67.3
68.9,71.2,49.5,54.2,61.7,67.4,68,66.4,67.6,64.4,58.7,69.4,61.8,60.6,59.8,70.3,63.7,64.9,60.5,59.8,69.3,55.1,53.5,57.7,66.2
69.2,69.4,48.7,54.9,62,68.1,66.3,67.8,65.2,63.5,60,68.7,62,60.8,60,68.2,64.3,65.3,60.7,58.3,69.3,54.7,52.2,56.2,64.9
67.9,68.1,48,55.1,61.6,69.1,67.3,67.2,65.9,63,59.8,68.3,60.9,60.7,60.3,67.4,63.7,66.2,60.3,57.1,69.8,53.3,50.8,55.4,63.2
