서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
60.6,68.8,72.6,52,69.8,74.5,75.4,73.2,79.6,81.3,83,79.7,83.6,79.5,86.4,81.2,73.7
61.6,70.3,74.7,53.2,71,75.4,75.3,74.5,81.3,81.1,83.9,81,82.5,79.4,86.1,80.5,72.3
62.4,70.5,74.5,53.1,71.6,74.3,75.3,75.5,80,81,82.3,80.9,81.4,80.2,86,81.1,74.9
62.5,70.7,75.2,53.2,71.5,74.3,75.5,75.5,80.2,80.7,82.3,80.4,81.6,80.1,86.2,81.1,75.5
62.3,70.5,74.9,52.2,71.3,73.6,75.1,75.2,80,80.2,82.3,80.3,81.4,79.9,86.7,81,76.2
62.5,70.7,75.5,52.5,71.1,73.5,74.6,75.6,79.8,80,82.3,80.3,81.5,80.2,86.4,80.8,75.4
62.4,70.9,76,53.7,70.8,74,73.8,75.7,78.7,79.6,81.9,80.2,81.2,79.5,85.9,80.6,74.7
62.2,71,75.6,53.8,70.5,73.8,73.6,75.9,78.2,79.4,81.8,79.9,80.8,79.5,86,80.4,73.8
61.8,70.9,74.9,54,70.1,73.5,73.3,75.8,77.7,79,81.8,79.7,81,79.4,85.7,80.3,73.8
61.3,70.2,74.1,52.8,69.5,72.6,72.9,74.8,76.5,78.6,81.4,78.9,80.6,77.8,84.9,79.9,72.8
