목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
84.1,71.4,83.3,75,84.8,67.8,,,75.9,69.1,78.1,64.5,,78.7,79.3,79.2,62.9,73.1,,,,
84.4,71,83.2,73.7,86.6,67.3,,,66.2,69.2,77.4,60.6,,76,77.8,80.1,67.6,71.3,,,,
84.7,72.2,84.3,75.5,88.2,67.4,,,62.8,,,59.7,,79,,,68.4,71.4,,,,
85.1,72.4,83.9,73.7,88,68.3,,,53,70.3,78.4,58.9,,77.9,77.9,80.4,70.3,71.8,,,,
84.8,72.8,83.9,72.7,87.4,68,,,59.5,71.2,78.6,60.2,,76.1,78.5,80.8,68,71.5,72.7,,,
85.6,72.3,84.3,71.7,87.9,66.4,,,61,71.2,77.7,58.5,,75.8,78.8,82,82.8,70.3,72.7,,,
85.2,72,82.6,70.3,86.2,65,,,65.9,78.7,77.6,56.8,,70.4,80.5,82.4,79.7,74.2,72.9,,,
85.2,71.9,82.7,69.4,86.1,70.5,79.1,,66.5,,79.1,56.2,,66.7,81.1,82.4,,75.5,74.7,,,
85.3,71.6,83,69.2,85.7,65,77.1,,65.6,,78.9,57.2,,65.2,84.2,82.8,98.3,73.7,62.6,,,
83.8,69.3,82.2,69.3,83.8,63.2,76.4,66.3,70,,74.4,60.3,36.8,66,84.2,82.5,98.7,71,61,,,
