전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군
84.6,82.2,83.8,87.8,76,79.6,78.3,83.3,113.7,,,76.9,,82.7,64.9
83,81.3,83,86.9,74.1,79.2,75.5,81.7,112,,,77.1,,85,67.8
81.8,80.5,82.1,85.6,72.3,76.1,72.2,80.8,107.2,,,,,78.8,68.6
81.3,80.9,82.9,86.4,72.5,77.5,73.1,80.9,106.4,,,74.5,,78,71.1
80.4,80.6,83.3,86.5,72.5,76.9,74.5,79.5,100.2,,,75,,77.4,74.3
80.4,79.9,84.1,86.9,73.2,78.1,75.3,83.8,101.4,,,74.9,,76.5,73.6
79.5,79.6,84.5,85.8,72.2,78.6,75.3,84,99.7,,,74,,75.2,72.4
79.3,79.5,84.8,84.4,72.1,78.5,70.3,83.7,,,,75.1,,74.8,72.9
79.9,79.4,85.2,84.3,71.2,78.5,70.3,84.3,,,,75.3,,74.6,73
79.8,79.1,84.5,84,72.8,77.1,65.1,83.6,,89.4,,74.6,63.5,74.8,74.7
