청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
86.3,87.7,81.7,86.8,81.8,83.6,66.4,78.9,70.9,79.6,78.1,64.2,73.9,70.9
86,88.7,82.6,87.4,83.6,84.3,,80.1,70.3,78.7,80.9,68.1,75.1,70.2
87.3,86.4,80.1,85.5,81.9,83.4,,78.3,66,78.5,78.8,,72.5,68.1
87.6,85.6,79.8,85.6,82.1,82.9,,78.5,69.3,79,78.8,,71.9,63.7
86.7,86.7,80,85.3,82.1,83,,79.5,66.4,82.5,78.7,,71.7,64.1
86.4,85.7,80.2,84.5,82.8,83.3,,78.4,68.5,81.5,79.8,,72.6,61.8
85.2,85.9,79.2,84.1,82.3,83,,78.3,69.4,82.1,80,,73.3,62.9
85.5,85.8,79.1,83.5,82.1,82.5,,78.2,72.4,82.6,79.6,,73.9,62.5
85.7,85.7,78.7,83.8,82,81.4,,77.5,72.3,79.9,79.7,107.1,74.8,76.7
85,85.4,78.8,82.4,82,80.9,73.9,76.9,73.1,79.3,80.4,110.9,73.4,77.7
