춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
79.2,79.7,81.6,83.3,84,77.8,78.6,81.2,80.7,,,65.8,,,,,,80.2
78,80.4,82.1,82.7,81.4,80.4,83.9,77.5,77.4,86.4,79.7,66.4,,,,,65.8,76.9
79,79.9,82.4,84.5,84.6,81.7,82.3,73.1,82.5,73.5,77.6,65,,,,,65.1,75.8
79.9,79.5,80.3,82.3,86.3,81.6,80.5,75.5,76.4,68.5,68.9,,,,,,,76.6
81.9,79.8,81.1,79.2,91.8,81.5,83.9,81.1,74,67.3,66.3,,64.9,,,,66.4,77.6
82.3,79.5,79.5,80.1,91.5,84.2,81.9,82.2,74.2,,,,,,,,82.7,76.3
82.2,78.8,81.5,83,87.9,81.4,81.7,78.5,65.9,81.7,,,,,68.3,,76.8,65.6
78.8,76.7,77.4,80.2,83.1,75.1,83,77.4,,73.8,,,,,70.2,,80,69.3
79.3,76,77.4,78.3,87.1,73.4,83.4,79.3,55.7,75.2,64.7,,,,,,62,62.3
79,76.5,76.6,77.4,86,74.4,79.8,85.1,,68.7,68.1,,,,,,62.1,68.8
