수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
63,67.5,71.6,65.2,63.4,58.9,54,72.6,65.7,61.3,68.8,56.1,77.8,77.4,66.4,67.1,69.1,71.5,68.3,54.6,63.8,70.2,75.1,71.5,66.1,64.8,65,80,72.1,69.6,77,86.6,80.4,69.1,67.5,72.5,67.7,74.9,86.4,,59.3,78
63,66.6,75.4,67.9,63.2,55.4,54.7,75.5,68.8,62.2,69.9,61.3,78.9,81.3,67.1,69,69.5,69.9,69.9,56.7,65.9,70.4,77.7,72.2,66.9,64.2,68.6,78.8,73.4,70.3,76.9,87.5,82.9,69,68,71.4,69.3,79.7,85.4,,77.3,81.3
65.8,67.9,79.2,69.5,59.1,56.7,56.2,75.9,65.3,64.1,69.3,62.8,78.7,76.6,69.5,69.1,70.3,68.5,72.1,61.9,63.7,71.4,76.5,73.1,67.5,65.8,66.9,79.5,75.9,69,77.7,88.1,81.3,67.3,68.3,73.2,69.1,80.7,85.9,73.1,83.3,84.6
64.8,67.8,76.4,68.9,64.2,58.8,56.9,78.1,65.5,66.4,70.1,61.3,78.3,77.5,67.3,65.3,70.3,72.4,70.6,61.6,66,69.7,77.6,69.9,67.4,65.2,65,78,73.9,69.8,76.5,89.8,79.4,67.8,66.7,71.6,65.5,81,85.7,72.7,75.7,85.3
67.4,67.1,70,66.9,61.7,54.1,57.5,76.2,66,63.9,71.6,60.5,79.6,76.9,67.4,64.3,67.7,70.8,71.3,55.5,62.9,67.5,77.3,67.4,69.5,71.6,61.9,78.7,71.4,68.4,74.1,97.2,83.7,65.6,64.7,68.7,60.7,78.2,84.2,79.4,73.8,81.1
69.4,69,68.7,66.4,59.8,52.1,56.5,75.1,63.8,65.8,70,60.2,80.5,82.8,65,62.1,65.2,69.3,71.7,55.9,61.7,69,77.9,66.1,74,70.9,63.9,80.9,71.6,70.2,72.5,93.2,84,63.5,64.7,66.8,57.1,74.4,86.6,84.2,79,71.3
68.1,66.7,70.7,66.2,57.7,54.1,55.7,71.9,65.7,64.4,68.3,59.1,76.6,77.8,63.8,59.8,63.7,68.5,67.9,49.6,59.3,67.7,77,65.1,70.3,67.4,60.3,76.4,69.2,68.4,72.9,87.6,83,62.8,61.5,68.1,61.3,74.2,85.8,77,86.1,75.2
65.4,62.2,64.7,61.9,54.2,54.6,52.9,70.5,63.6,60.3,65.5,58,74.2,72.7,57.5,57.7,62.3,64.9,64.5,46.1,56.5,66.4,71.2,61.7,66.7,64,58.4,71.1,64.7,65.4,71.8,82.5,78.7,60.8,58,68.1,60.4,73.7,79.9,69.4,80.8,69.6
63.4,62.5,61.8,60.4,55.1,56.3,51.8,69.8,61.6,58.9,63.5,56.5,72.6,73.7,57.8,56.9,62.2,64.9,63,45.8,55.6,65.9,70.2,60.8,64.9,61.2,57.7,68.7,63.8,64,70.1,81.5,76.5,60.6,56.1,68.3,60.1,71.4,76.5,65.6,79.8,69.1
62.7,61.7,58.8,59,55.9,55.8,51.1,67.5,62.9,59.3,63.6,56.8,71.3,74.1,58.6,55.8,63.1,64.7,63.8,45.4,53.8,64.2,68.7,61.1,64.3,60.4,57.8,67.6,63,63.2,71.4,81,77.4,60.6,55.1,65.8,59.3,74.2,75.9,65.5,78,69.8
