창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군
83,78.2,86.9,84.4,81.2,83.1,83.3,93.8,85.7,88.8,71.8,74.4,,94.6,93.5,71.7,,,,,,
82.3,80,84.6,86,81.6,83.6,73.6,89.8,85.8,82.6,72,75.9,,95.8,,,,,,,,
79.6,80.5,84.9,88,84.4,83.5,77.1,90.1,85.8,74.9,72.7,76.6,,96.2,,,,,,,83.5,
80.2,79.7,84.1,91.9,84.2,82.5,74.4,90.9,84.4,73.7,73.4,74.3,,90.7,,67.7,,,,,77.1,
81.3,80.8,90.4,91.7,83.3,82.4,79.1,89,84,73.9,72.1,71.6,,87.8,65.6,68.6,,,,,85,
81.8,82.9,90.5,89.9,81.5,82.5,78.2,89.1,82.3,74.9,72.5,71.3,,84.4,61.4,79.1,,,,,75.7,
78.9,77.6,86.4,84.5,81.8,80.2,79.5,87.6,80.3,83.8,72.4,70.1,,86.3,,,,,,,76.9,
73.5,73,81.1,83,79,78.3,79,84.2,78.7,83,71.6,68.8,,81.8,,100.1,,,,,75.7,
72.4,72,79.4,82.4,76.9,78.9,77.9,85.5,78.9,85,72.6,68.5,,83.1,,77.3,,,,,66.7,
72.3,71.8,80.1,80.8,79.3,78.4,73.5,86.2,79.2,76,73.6,66.5,,83.8,,67.4,,,,,66.1,
