경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도
포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군
89.8,92.2,80.6,87.8,81,90.4,83,77.1,76.7,,83.7,,,,,,,,86,73.5,,,
90.6,91.7,81.4,84.6,83.4,90.8,76.1,74.9,76,,81.4,,,,,,63.4,,82.2,72.9,,,
89.4,94.4,81.9,83.9,80,92,78.1,79.2,,83.2,79.9,,,,,,,,84.1,69.9,,,
93.1,94,81.9,85.7,78.9,91.9,77.7,78.6,,75.2,81.3,,,,,,,,83.2,73.4,,,
94.7,92.7,85.8,85.2,82.9,92.9,70.9,74.3,71.4,74.7,79.5,,,,,,,,82.7,73.2,,,
94.3,89.1,84,81.7,89.7,90.1,83.1,75.9,62.3,71.9,79.2,,,,,,,,82.2,70.7,,,
89.5,88.8,82.4,82.6,83.3,88.9,86.6,74.7,66.2,74,78.5,,,,,,,,85.1,71.3,,,
85.6,87.4,84.1,79.6,81,85.1,101.2,78.2,63.8,73.5,76.9,,,,,,,,77.4,67.3,,,
84.3,86.3,82.1,79.2,80.1,84.2,89.9,81.2,66.6,72.3,76,,,,,,,,79.5,64.9,,,
84.3,86.4,82.5,79.4,78.7,81.7,81.2,78.8,72.5,71.8,76.1,,,,,,,,80.8,64.6,,,
