전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군
83.8,82,81.4,90.4,73.2,80.9,76.7,79.8,,,,,,71.9,65.7
81.9,81.5,83,90.6,72.1,74.9,,82,,,,,,73.2,63.6
81.5,79.5,86.3,89.1,73.6,76.8,68.8,84.9,,,,,,60.1,
85.2,79.4,88.2,90.3,74.1,92.6,55.5,83.4,,,,,,,
86,79.8,87,87.8,70.1,77.3,69.5,81.9,,,,,,82.4,
84.7,79.9,90.3,86.2,77.6,75.1,68.3,88,,,,68.4,,,
82.9,78.5,87,85.2,72.1,72.5,75.4,85.5,,,,,,,
79.5,76.1,83.9,84,69.1,70.1,75.7,82.7,,,,,,,
79.3,74.9,81.6,83.8,67.5,75.9,71.4,78.5,,,,,,,
77.3,73,81.5,84.4,69.2,75.2,68.4,79.4,,,,,,72.9,
