천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
83.6,80.9,78.1,82.9,79.1,86.6,89.7,76.3,85.6,,,,,74.7,76.5,79.6
85.1,82.6,78.2,79.4,81,85.3,87.3,73.3,81.9,,59,,,66,77,66.8
84.9,85.1,76.8,78,81.6,88.5,85.5,69.9,81.3,,,,,68.7,77.3,69.6
81.9,84.3,74.4,79.8,80.6,84.4,82.9,70.9,82.6,78.1,80.2,,,72.4,69.5,71.4
83,81.3,69.3,84.6,82.2,84.5,78,75.2,81.6,74.5,73.4,,,77.3,62.5,75.5
84.2,80.4,73.9,86,79.2,82.3,77.6,80.1,77.3,59.4,72.4,,,74.2,57.7,76.3
81.7,78.1,72.9,84.2,79,81.1,77.5,80.8,80.5,73.5,71.7,,,75,61.1,77.9
77.9,76.4,71.3,85,78,78.1,76.2,73.6,81.2,79,79,,,68.2,74.4,75.1
75.9,75.1,70.8,81.6,76.9,77.1,72.8,72.8,77.5,87.6,80,,,70.1,73.1,77.3
76.2,76.2,74.6,79.3,76.6,77,73.5,68.3,76.9,73.2,76.1,,,70.4,66.9,82.7
