중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
79.2,77.7,69,67.4,75.5,66.2,67.5,74,61.4,74.8,74.9,71.2,65.9,57.1,78.2,72.3
,75.7,78.6,70.2,75.7,70.4,72.1,72.6,58.8,74.6,75.5,72.4,68.2,62.1,79.7,71.5
67.8,67.7,73.4,70.1,74,66.9,69.7,73.3,56,77.3,73.2,69.1,71.6,62.1,78.6,73.7
93,71.5,71.6,71.5,70.6,63.1,69.8,73.4,57.3,75.1,70.9,67.1,69,57,76,69
,69.9,72.2,72.4,72.5,61.7,66.4,73.1,56.6,74.9,70.9,66.7,68.9,55.8,77.1,68.2
101.8,65.7,71.5,67,74.6,61.6,62.7,70,56.1,75.3,66.4,62.4,68.6,55,77.7,72.1
,66.9,67.9,72.1,74,60.5,62.4,69.7,55,74.1,67,62.7,67.7,56.9,74.9,71.8
,62.8,62.6,73.2,70.9,59.7,62.9,66.9,54.2,71.2,68.6,61.5,63.7,54,72.7,67.8
,67.8,61,74,68.9,60.2,62.1,68,51.7,69.2,67.8,61.6,61.3,52.6,73.8,65.8
,66.8,68.3,70.8,69.1,59.2,61.2,67.7,52.4,70.5,67.3,61.7,57.8,52.8,74.7,65.9
