종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
68.3,62.6,52.2,52.4,65.7,70.8,64.8,63.8,64.2,61.7,51.2,70.2,60.9,58.2,52.2,71.9,69.5,76.6,64.8,60.2,70.4,62.7,55.5,53.6,65.2
73.2,78.6,50.3,60.2,59.8,68.2,67.3,67.3,62.7,63.4,54.6,66.5,59.8,63.1,55,73.2,71.7,76.6,67.2,59.5,73.3,62.6,55.1,52.5,63.9
72.2,81.4,41.5,56.6,63.3,71.1,66.2,69.5,64.2,63,54.1,67.7,61.4,65.4,54.4,75.8,68.8,65,67,59.7,71.8,63.3,58.8,53.3,65.5
,82.8,39,55.5,65.9,69.2,70.1,66.4,65.3,59.9,55.8,69.9,62.1,66.9,51.5,68.1,66.8,64.6,72,60.2,74,60,56.7,53.9,65.5
66.2,75.9,49.3,58.3,66.6,72,71.3,65.8,58.5,63.7,55.1,66.3,63.3,63,53.2,65.5,62.3,67,72.3,59.6,76.7,60,54.4,54.8,65.5
68.9,64.9,52.8,57.2,71.3,72,72.2,67.1,63.3,63.8,57.6,63.9,62.6,61.1,52.1,61.3,63.9,69.4,65.9,58.9,71.9,54.4,51.6,53.7,61.8
60.9,66.4,47.4,52.7,60.8,67.6,68,63.2,59,59.1,55.2,62.2,58.5,57.2,51.3,59.1,60.8,68.9,61.3,55.7,65.9,52.8,48.4,51.2,57.9
57.6,64.3,45.9,50.9,55.8,64.1,67.6,59.7,59.2,55.7,52.5,62,55.5,54.6,48.4,57.6,58.7,60.3,59.7,53.3,62.2,45.9,45.8,48.4,55
57.9,61.4,44.5,50.4,54.8,60.9,64,57.9,58.5,54.7,51.9,60.1,55.2,54.4,49.9,57.1,58.6,59.5,56.7,51.5,60.5,46.6,45,47.2,53.9
57.3,59.5,44.7,50.2,53.1,61,64.9,57.9,59,54.9,51,57.7,53.2,53,47.8,55.1,56.8,58.4,55.2,51.2,59.3,46.1,44.3,47.1,52.3
