서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
62,70.5,73.6,54.3,70.2,75.5,74.2,73.1,80.9,79.6,84.3,81.8,83.1,82.7,87,81.4,70.2
63.2,71.7,73.3,55.6,71.2,75,74.6,74.1,81.2,79.8,84,81.8,82.8,81.7,86.2,81.5,70.6
63.5,71.9,73.5,54.1,70.4,74.6,75,75.1,80.7,80,84.7,82.6,82.9,81.2,86.8,81.6,69.8
63.1,71.2,72.6,52.6,68.5,72.6,74.8,74.6,80.3,79.6,83.9,81.2,84.5,80.5,87.3,81.2,71.2
62.5,70,70.5,47.8,68.2,68.9,74.7,73.4,77.9,80.2,84.6,80.6,83.7,79.4,87.4,80.8,73.4
61.5,69.4,69.1,48.6,67.4,68.9,73.1,73.8,75.6,80.6,84,79.5,84,79.4,86.1,80.5,72.3
58,67.2,67.1,48.5,66.3,69.7,71.2,72.8,74.2,80.2,81.7,79,81.9,77.8,84.5,78.8,70.8
55.2,64.2,64.6,47.4,64.2,69.1,70.5,70.6,72.3,77.2,79.5,77.3,79.4,78.4,82.5,76.5,66.9
54,63,63.4,45.6,63.3,67.9,70.9,68.4,71.5,76.4,78.6,75.9,78.4,77.8,81.6,75.9,66.7
52.9,62.4,63.6,45.9,63.1,66.9,70.3,68.6,70.6,76.6,78.8,75.9,77.4,76.9,81,75.5,68.3
