목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
87.9,71.6,88.1,74.5,88.8,,,,,,86.3,,,,80,82.7,,,,,,
88.1,70.1,84.3,68.7,90.2,,,,,,82.2,,,,78.8,80.9,,,,,,
87.7,69.6,83.3,70.6,89.7,,,,,,,,,,,,,78.6,,,,
85.9,70.1,85.4,69.2,86.8,,,,,,76.9,,,,83.4,80.8,,,,,,
84.8,66.9,85.8,68.4,85.9,,,,,,78.8,,,,86.9,81.1,,,,,,
87.3,66.7,86.1,66.5,85.2,,,,,,74.9,,,,87.1,81.3,,,,,,
86.8,66.9,81.5,66.9,83.4,58.6,,,,,75.1,,,,90.3,80.8,,,,,,
87.3,69.9,80.3,66.8,83,,,,,,66.3,,,,88.7,79.1,,,,,,
85.2,70.9,78.8,66.8,82.8,,,,,,71,,,62.1,89.8,79.8,,,,,,
82.9,69.4,79.1,68,85,,,,,,63.7,,,,86.3,78.9,,,,,,
