춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군
71.7,80.4,86.9,,90.9,73.6,,83.1,,94.5,69,,83.8,60.6,,,,80.7
70.8,76.4,85.9,,82.2,75.8,,86.1,,94.6,70.6,,84,61.2,,,,
70.5,75.2,85.1,,84.9,74.6,,87.9,,103.4,64.6,,83.6,61.5,,,,
70.5,76.1,87.8,,84.6,74,,89.6,,114.9,68.3,,84.7,65.1,,,,
74.6,72.2,87,,81.2,70.6,,90.3,,113.7,65.4,,,65.5,,,,
76.7,67.2,90.5,112.3,73.4,70.1,,94.8,,,63.1,,,65.2,,,,
75.1,68.3,87.5,112.3,70.1,69.5,,91.8,,,63,,,86.1,,,,
76.6,69.6,88.8,112.4,69.6,68.7,,93.2,,,61.4,,76.9,69.7,,,,
76.8,73.7,90.8,106.2,66.6,71,,94,,,63.1,,62.3,79.5,,,,
70,71,88.6,94,64.9,72.7,,94.2,,,59.7,,62.3,79,,,,
