수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
85.1,81.5,84.2,66.8,61.8,59.6,68.1,73.4,77.1,56.8,87,64.6,92.5,81.8,92.3,79.9,76.4,88.6,82.7,84,52.9,79.5,90.5,75.2,66.9,72.4,63.8,86.6,83,84.8,87.6,92.4,72,84.9,83.8,87.8,75,87.3,84,75.3,81.1,83
84.9,81.7,83.5,72.9,61.5,61.4,68.5,74.8,77.7,58.4,87.7,68.8,93,82.5,93.7,81.3,78.3,89.9,83.6,85.1,55,81.4,88.7,75.5,67.5,74.6,62.4,85.8,84.1,86.5,88.1,94.9,76.5,85.5,84.1,88.2,76.6,88.5,81.1,74.4,84.8,85.3
84.6,80.3,82.5,72.1,63.8,61.1,69,74.2,77.4,58.6,87.4,71.1,92.9,83,94.2,82.8,78.7,89.7,84.3,84,56.4,81.2,87.4,74.6,66.1,78.3,62.2,85.2,83.4,88.1,88.3,93.6,74.6,86.6,84.6,87.5,78.2,88,82.1,78.1,84.6,84.6
83.8,79.8,82.4,76.9,63.6,61.2,69.8,75,76.7,59.5,87,72.1,93.5,84.7,94.1,82.8,79.1,90.3,85.6,82.3,56.9,82.1,87.4,74.8,65.5,84.4,59.7,85.8,83.7,88.2,89.5,93.4,78,87.5,85.5,87.8,80.1,86.3,83.2,80.8,87,82.2
82.7,79.1,81.2,73.1,63.7,60.6,72.7,75.3,77.6,61.8,86.4,70.8,93.7,87,94.2,82.9,79.4,90.4,85.7,82.1,57.3,82.5,90.5,74.5,66,85.7,61.8,87.1,82.7,91,89.4,92.5,82.3,86.8,85.2,88,79.8,85.1,82.8,86.9,89.4,83.4
82.7,79,81.5,73.5,63.7,60.8,73,75.6,79.3,62.6,86.3,70.4,93.9,86.2,94.3,82.5,80.1,89.5,84.8,82.1,57.9,82.2,91.6,73.6,67,87.4,65.4,86,81.3,90.9,89.8,91.6,82.4,85.7,84.7,87.9,78.4,85.9,81.8,87.4,82.3,84
82.5,78.8,81.1,75.1,65.4,61.3,70.3,75.5,79.2,64.4,85.9,71.9,94.1,87.6,93.7,80.1,79.9,89,85.5,85.5,58.6,82.5,93.4,73.9,68.6,82.1,63,85.5,83.1,88.9,89.9,92.5,81.6,84.6,84.2,87,78.6,84.1,82.1,87.1,83.4,86
81.8,79.3,81.3,76.1,65.3,61.4,68,75.6,78.6,63.1,85.5,71.8,94.2,88.2,93,77.4,79.1,88.7,85,85.7,59.4,82.6,92.7,74.2,67.4,86.5,59.5,85.3,84.4,90.3,89.7,92.4,81.7,84.1,84.2,87.1,75.2,81.7,83.1,83.8,81.8,83.4
82.7,78.5,82.2,75.5,66.5,62.7,64.4,75.6,78.1,65.1,84.3,74,94,83.1,92.4,75.6,77.8,87.4,85.3,76.3,61.6,82.6,90.6,73.8,66.7,90.3,59.4,84.9,83.4,89.9,88.1,93,83.4,81.3,84.3,85.8,73.5,81.3,82.6,80.6,86.2,80.8
80.4,76.8,81.6,74.8,67.5,62.1,60.4,75.6,75.9,62,83.6,77.5,93.3,83,91.1,71,78.7,88.4,83.2,72.8,62.3,82.7,92.3,75,67.3,79.1,53.8,86.4,84.2,82.6,88,90.7,78.8,78.2,83.4,83.8,73.8,80.4,80.2,78,88.1,80.1
