창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군
96.6,68.8,83.7,80,80.1,94.4,89.2,,92.1,,72.6,91.3,,80.8,82.9,56.7,,,,,,
96,70.6,78,82.4,79.4,94.3,88.9,77.5,91.9,,67.6,91.3,,83.3,82.3,56.6,,,,,,
96.4,71.3,76.3,82,79.1,93,83.5,77.8,93.9,,70.8,97.4,,90,81.5,56.6,,,,,,
96.7,71.6,81.6,85.7,81,93.3,76.9,78.1,95.3,73.9,81.7,102,,90,72.3,,,,,,,
98.1,69.4,94.7,83.3,83.6,93.7,82.4,78.8,95.6,75.9,78.7,100,,90,74.3,,,,,,,
99.1,70.8,106.6,84.5,83.9,94.1,77.9,78.1,91.2,,74.2,101,,,64.5,,,,,,,
98,68.8,,82.3,81.2,85.6,77.1,76.2,86.4,,76.5,94.1,,,61.6,,,,,,,
95.2,74.3,,84.5,79,,73.8,74.5,96.9,66.7,73.7,93.7,,,,,,,,,,
96.5,71.2,93.1,87.2,78.1,80.3,,73,96.3,77.3,76.5,96.4,,,63.2,,,,,,,
90.3,70.2,,88,73.6,105.1,,71.7,95.4,77.1,81,84,,,62.1,,,,,,,
