포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군
85,67.3,80.5,106.7,102.7,98.3,83.5,,,69.9,82.8,,,,,,,,100.4,,,94.3,
86.8,74.2,84.4,105.4,102.9,100.9,82.7,,74.3,68.3,81.2,,,,,,,,86.7,,,94,
88,76.3,84.4,99,103.1,101.1,76.2,,70.8,66.2,91.7,,,,,73.9,,,71.6,,,,
90.5,74.3,84.9,86.4,104.5,105.4,75.8,,71.4,65.5,88.1,,,,,78.8,,,74.2,,,88.3,
91.1,74.7,87,81.7,114.2,105.5,78,,71.4,67.4,88.1,,,,,78.8,,,73.7,,,88.6,
92.8,78.3,86.5,80,90.9,101.7,78.9,,,66.9,79.7,,,,,78.8,,,75.5,,,75.1,
92,76.2,85.5,93.6,90.8,106.8,88.9,,,68.3,80.4,,,,,,,,74.6,,,89.1,
89.7,79.6,87.2,94,90.8,98.1,81.4,,,71.5,,,,,,,,,69.3,,,88.7,
84.7,80.3,89.5,82.5,90.8,94.4,91.9,,,69.4,,,,,,,,,72,,,,
87.8,82.3,89,82,,95.2,89.5,88.3,,70.8,,,,,,,,,74.7,,,,
