중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군
65.2,74.3,55.9,68,63.9,65.3,66.6,77.5,53,67.5,65.9,71.2,71.8,53.1,78.3,89.8
67.3,76.4,64.5,66.2,62.5,67.7,69.3,80.9,55.4,68.3,67.6,71.7,75.3,53.7,78.5,91.6
68.6,76.3,68.1,65.8,64,70.3,69.2,80.2,53.2,69.5,67.8,59.1,73.4,54.3,74.7,95.3
68.2,78.1,67.1,64.5,62.1,70.1,67.8,81.4,52.9,71.2,71.2,60,72.7,55.6,78.2,93
64.9,80.1,67.9,68.3,64.7,69.7,68.1,79.2,56.3,70.9,71.2,60.4,70.7,54.2,78.8,87.9
66.5,76.3,65.9,62.9,60.9,68.3,65.2,78.4,54.9,70.2,69.9,68.5,69.8,52.1,77.7,86.2
68.7,83.4,63.7,65,61,65.9,64.3,77.7,53.7,70,69.1,68.4,68.4,51.3,77.5,89.8
68.1,81,58,71,59.2,65.3,67.6,79.3,54.2,68.1,68.5,63.8,66.8,49.6,77.3,79.5
72.1,67.3,63.3,72.3,60.2,66.3,69.7,78.6,54.5,65.6,63.9,50.9,66.6,47.3,75.1,73
69.2,61.5,68,72.3,60.1,71.9,69.5,75,53.7,64.9,64.2,50.9,67.7,46.2,72.5,67.7
