종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
68.7,75.2,50.6,64,76.8,74.7,79.8,70.9,80.3,77.4,74,77,75.1,70.6,77.1,86,78.3,84.1,77.5,76.6,77.1,74.2,71.9,79,81.8
69.4,74.8,50.5,61.8,77.6,73.6,78.8,72.7,80.7,78.4,74.4,76.8,74.2,69.8,76.9,85.3,77.9,83.8,77.6,76.8,78,73.5,71.9,79.6,81.9
71.6,76.1,51.7,63,79.5,75.5,81.2,78.3,83.1,80.6,74.9,78.7,77.2,71.9,78.6,87.6,80.8,85.9,79.9,77.9,80.2,75,74.1,82.1,84.7
72.8,77.3,51.2,61.7,78.9,76,81.5,78.3,83.2,81.4,75.3,78.9,77.6,72.9,79.1,87.3,80.2,85.9,79.4,77.5,81.7,75.2,73.9,83,84.5
72.4,76.5,51.2,61.2,79,76,81.8,79.4,82.7,81.7,75.7,78.2,76.7,72.4,80.2,87.3,79.3,85.8,79.2,78.9,82.1,75.2,74.4,83.5,86
73.4,77.8,51,61.7,79.7,75.9,82.2,79.2,83.9,81.7,75.7,78.7,74.6,72.7,80,86.8,79.6,84.2,79.6,79,82.2,74.3,75.2,84.4,86
72.9,78.9,50.3,63.3,79.6,76.9,82.5,79.5,84.9,81.3,75,79.2,75.4,70.7,79.9,85.6,79.9,83.5,81.3,78.7,81.3,72.9,76.4,83.2,85.3
73.7,77.2,50.9,65.1,79.7,76.5,81.9,78.7,85.4,81.2,77.3,79,76.5,69.6,80.3,85.1,80.1,82.7,80.9,79.1,82.8,72.8,75.3,82.2,83.5
75.2,80.3,49.8,63.9,79.4,75,82.1,77.5,84.6,81.1,76,78.3,76.8,69.2,80.7,84.5,79.5,81.9,80.8,78.4,83.4,72.7,74.9,80.2,82
74.8,81.1,50,63.1,78.2,75.7,79.3,77.4,81.7,80.4,76,77.5,77.7,67.7,80.3,83.5,79.5,82.1,79.5,75.9,83.5,72.2,75.5,78.2,81.5
