서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
77.3,82.1,84.8,91.2,63.3,74.6,76.5,79.6,80.1,79.5,80,81.3,78,81.5,82,84.9,76.7
77.2,83.2,86.6,91.2,65.1,75.5,77,82.4,79.4,79,81.5,80.6,82,82.4,84.1,84.3,77.5
79.4,83.1,87.5,89.3,65.4,76.6,77.5,83.1,81.7,78.5,81.9,82.6,84.1,78.5,85.1,83.9,77.6
79.6,83.3,87.8,85.8,65.8,75.5,76.7,83,83,79.8,80.5,82.5,84.9,80.1,85.3,86.1,76.7
79.7,83.4,88.3,86.4,65.8,77.4,77.8,82.6,80.9,79.4,81.2,83,83.7,77.5,85.9,87.3,76.7
79.8,83.3,88.5,88.4,64.3,77.8,78.2,82,79.6,80,83.2,83.1,83.7,75.6,85.5,86.2,76.8
79.5,83,88.6,88.1,63.6,77.2,80.5,81.3,77.3,79,82.9,82.3,83.2,73.7,86.6,83.2,76.5
79.3,82.7,88.5,86.6,62.7,77.5,81.4,83.3,76.3,78,82.6,82.1,83.2,73.3,86,83.3,76.7
78.8,82.1,87.8,84.1,62.1,74.3,80.9,83.5,74.8,79,79.7,81.5,80.2,74.2,83.9,83.5,75.9
77.9,81.3,87.1,85.3,61.5,70.9,75.9,83.9,70.9,78.1,79.1,79.7,77.5,75.8,85.4,83,75.8
