중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군
77.8,85.3,87.9,79.9,84,82,86.1,85,88.4,89.7
79.1,84.3,89.2,81.3,86.4,83.5,87.5,87.5,88.6,91.4
78.4,83.5,89.3,80.2,87.8,84.9,89,88.1,86.5,105
79.6,85.1,89.8,81.1,87.9,84.9,89.4,88.3,92.3,105
80.5,86.2,90.1,82.5,87.9,85.7,90.2,88.8,87.2,105
80.8,83.8,91.2,82.7,87.8,85.9,90,89,86.7,105
80.5,76.8,91.8,82.6,88.4,85.2,90.1,89,86.3,99.3
81.1,73.4,91.4,80.9,89.5,85.2,89.4,88.6,86.8,111.6
84.3,67,90,80.7,89.3,84.4,88.9,88,85.9,100.7
82.9,68.4,89.4,78.7,89,82.5,88.3,87.8,84.4,101.5
