목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군
94.5,74.6,,,90.1,53.6,77.6,,,,,,,,,,,83.9,60.1,,80.7,
101.6,74.1,85.3,,91.7,53.8,77.8,,,,,,,,,,,80.5,59.1,,73,
91.3,73.9,,,94.4,42.2,78.6,,,,,,,,,,,80.5,59.3,65.3,,
88.7,74.5,,,99.2,,85.1,,,,,,,,,,,77.4,60.7,65.7,,
87.2,67.5,,,97.5,,85.4,,,,,,,,,,,79.2,52.4,57.8,,
85.2,60.8,,,96.2,,85.3,,,,,,,,,,,77.9,52.4,54.7,,
85.4,56.3,,,93.9,,83.5,,,,,,,,91,,,77.9,52.4,52.6,71.2,
76.6,60.6,,,91,,88.5,,,,,,,,91,,,80,52.4,52.6,,
80,60.7,,68.1,92.5,,89,,,,,,75.3,,91,,,83.2,52.4,46.6,,
81.5,60.1,,80.3,91.4,,87.6,,,,,,70.7,,91,,,84.5,,46.6,,
