천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군
78.3,83.1,69.1,101.1,80.6,89,77.9,,71.1,52.2,,74.3,,95.6,84.5,94.2
77.9,85.5,80.6,99,77.7,87.3,75.4,86.2,73.9,52.6,,75.5,,94.6,83.5,76.5
80.5,90.7,74.5,92.8,80.2,92.6,72.5,86.2,75.1,53.3,,74.7,,86.3,87.9,89.2
81,90.5,76.8,91.7,81.9,94.1,72.4,,74.2,,,73.4,,82.5,79.8,84.6
79.4,91.8,,99.6,82.6,100.8,80,,71.5,,,73.3,,,74.6,85
81.8,90.7,,98.5,81.3,100.3,73.5,,68.6,,,75.3,53.2,,78.1,84.4
85.9,89.8,,93.8,79.7,101.4,65.7,,67.8,,,77,53.4,,69.3,69.6
87.4,94.1,,92.6,77.2,98.5,68.1,,69.2,,67.8,77.2,71.6,72.4,64.4,69.2
90.2,97,,86.2,77.3,96.8,66.3,,70.6,,79.6,62.3,71.7,74.4,64.5,68.8
85.8,87.5,,76,78,94.2,77.8,,75.2,,75.3,58.7,71.5,73.7,63.9,60.7
