청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군
84.2,65.1,78.5,90.6,85.6,80,,88.4,,,91.7,68.8,69.7,77.3
87.5,66.5,79.9,93.2,87.6,82.1,,74.6,,,87.4,75.9,71.2,76.7
86.7,79,81,93.5,89.6,85,,71.6,,,88.8,56.5,68.6,77.1
87,70,80.9,89,90,80.6,,71.2,,,85.5,56.5,70.9,71.3
84.2,76.7,78.1,90.7,87.8,85.5,,67.7,,,85.5,70.4,71.6,71.5
84.2,67.2,79.2,91.1,87.4,97.5,,64.4,,,82.3,70,75.8,81.3
85,69.1,74.6,90.6,88.4,97.1,,63.9,,,67.8,70.3,78,83.2
86.2,70.7,74.7,89.8,86.4,97.8,,62.2,,,72,68.6,75.2,
88.7,70.6,74.7,88.6,81.3,84.3,,53.5,,,72,68.6,75.1,
85,72,77.8,82,83.4,86.9,,56.1,,,71.5,,69.3,
