강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,,,,,,,,,,,,,,,,,,,,,,,,
춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,,,,,,,,,,,,,,,,,,,,,,,,
66.8,-,91.8,-,-,54.4,-,95.6,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
80.6,-,96.9,-,-,73.1,-,-,-,-,59.5,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,70.3,-,95,-,-,56.8,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,62,-,97.5,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,-,118.1,-,-,-,-,96,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,-,119.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,-,105.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,-,83.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
77.8,-,83.3,-,-,60.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
-,-,75.7,-,-,58.8,-,-,-,-,67.2,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
