경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도
수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군
85.7,80.8,86.1,-,65.5,63.7,70.1,75.1,76.2,65,84.5,-,89.6,88.5,94.6,82.1,84.7,93.8,81.4,-,52.3,81.7,90.2,73.6,60.1,74.2,-,86.1,81.1,91.2,88.2,92.3,-,84.4,107.7,88.5,46.5,91.5,-,83.6,-,85
83.5,74.9,82.8,-,64.2,61.3,-,69.7,71.6,73.2,84.4,-,86.1,84.1,100.7,76.1,81.7,97.4,68.3,-,57.1,84.6,87.2,75.4,71.3,-,-,84.7,81.1,-,80.2,102.1,-,78,102,87.5,69.1,78.2,74.8,-,-,81.4
74.3,78.6,78.5,-,57.6,66.5,-,74.7,73.2,-,81.4,-,90.5,84.5,94.6,79.4,81.2,93.1,73.1,-,-,83.1,107.6,75.2,62.2,-,-,80.3,75.1,92.6,86.5,88.7,85.7,79.5,94.4,85.2,75.9,85.7,75.8,-,-,80.5
74.1,72.9,82.3,-,60.2,59.6,-,71.3,71.6,-,81.1,77.2,91.6,-,94.5,84.5,76.6,85.8,96.4,-,-,84.8,87.5,74.1,60,-,-,80.9,80.1,92.4,89.6,86,-,74.5,79.1,86,78.8,95.1,-,-,-,-
80.7,80.1,80.8,63.9,64.9,71.9,64.7,72.1,66.2,46.6,86.5,-,94.5,75.3,86.4,75.7,79.2,86.3,87.7,-,-,80.3,119.5,91,64.2,-,-,83.6,81.8,103.7,90.5,89.4,-,75,88.6,84.5,-,84.8,91.5,-,-,-
82.5,71.9,96.2,60.4,76.1,74.6,-,70.4,76.6,-,87.2,57.4,93.5,77.5,86.3,72.6,78,103.8,74.2,-,-,75.4,111.4,65.1,62.5,-,-,82.1,75.9,88,91.3,91.2,-,58.2,82.2,86.2,-,-,-,-,-,-
80.3,67.9,84.6,59.3,-,-,59.4,72.1,-,-,85.6,-,85,-,79.3,63.8,66.4,105.7,73.4,-,-,77.9,-,74.3,76.5,-,-,88.2,81.1,-,90.6,95.6,-,71.2,63,87.4,-,69.1,-,-,-,-
89,67.2,95.1,63.4,74.3,50.8,51.7,69.7,77.3,-,78.4,66.4,100.4,-,75.3,56.7,67.6,85,-,-,-,74.3,-,74.7,73.3,-,-,88.1,76,-,94.5,-,-,72.6,55.9,80.2,-,-,-,-,-,79.8
90.2,65.2,92.4,64.2,69.4,52,50.2,80.6,73.9,-,77,72.4,97.7,-,72.9,51.7,71.4,72.7,-,62.3,52.5,78,-,83.3,65.2,67.6,-,87,73.9,74.3,91.2,100.5,-,74.4,54,80,-,56.2,-,-,-,-
91.7,60.4,94,61.6,65.3,54,55.6,73.7,69.9,-,79.7,69.5,94.7,-,89.4,48.1,69.3,72.8,-,54.9,55.1,72.1,77,78.2,69.7,-,-,82.6,75.8,76.5,82.8,87.3,-,64.8,71.3,79.7,94.4,71.8,-,-,-,-
