대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동구,중구,서구,유성구,대덕구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,74.3,78.8,-,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,98.8,78.9,-,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.6,-,-,-,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.4,-,-,-,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.2,90,-,-,70.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,72.3,-,-,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,71,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,85.8,-,-,131.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,81.8,58.8,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
