부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,,,,,,,,,,,,,,,,,,,,,,,,,,
중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,66.5,81,55.7,83,82.7,-,128,46.8,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,75.3,65.3,76.8,60,63.2,66.2,-,127.4,44.4,64.6,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,52.4,-,75.1,74.5,54.3,-,-,-,-,46.1,74.8,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,47.4,79.1,-,-,57.8,-,-,-,-,-,86.9,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,59.8,63.5,-,-,51.4,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,65.1,-,-,57.9,63.5,-,-,-,59.8,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,51.4,-,-,-,-,57.8,-,-,-,57.5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,32.3,-,-,-,58.6,52.9,-,-,-,45,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,61.2,-,-,-,57.7,58.3,-,47.6,-,54.4,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,78.7,-,-,-,-,-,-,-,-,49,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,
