서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시
종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
71.8,83,50.9,70,86.5,80.5,82.5,66.5,84.6,78.6,76.7,81.3,78.4,75.4,81.2,86.4,79.5,83.6,77.5,82.3,85.3,75.4,80.7,82.4,88.7
72.5,77.7,51.6,78.1,86.3,75.3,76.7,72.6,91.2,84.2,75.5,80.3,72.4,78,87.4,85,77.5,82.1,79.8,85.4,91.9,75.9,88.3,85.4,88.4
83,-,49.4,67.1,80,80.4,77.2,68.6,91.2,87.7,72.9,76.1,80.4,74.1,83.6,86.5,70.9,82.2,80,75.5,92.7,77.9,82.1,78.3,89.5
75.9,-,50.7,56.6,77.6,72.3,81,73.8,88.5,76.9,76.4,76.3,88.2,74.4,79.4,86.1,74.8,80.4,78.4,80.9,89.8,75.2,84.2,83.6,96.7
71.4,-,48.6,59.1,73.2,75.9,85.2,71.4,82.1,80.1,79.1,81.9,95,72.3,82.8,82,64.7,83,77.1,80,87.6,76,74.9,79.1,75.8
54.6,79.9,46.8,-,79.7,75,79,70.2,87.5,83.1,78.9,74.8,81.2,76.6,77.5,81.4,70.6,85.5,72.2,89.1,84.4,67.8,80.7,77.9,81.1
54,83.6,49.4,80.2,84.2,77.7,79,-,87.6,90.7,69.8,70.9,68.7,72.6,74.1,81.7,80.2,74.1,92.9,77.8,72.4,79.8,77.3,83.1,80.9
55.5,82.9,50.9,84.1,83.4,77.4,77.8,79,84.9,85.2,65.8,76.6,62.9,67,77.9,81.4,84,72.7,86.3,72,74.5,75.4,74.2,82.7,80.2
58.3,84.7,49.5,77.6,75.2,59.3,75,73.4,84.8,76.4,72.9,79.5,56.9,65.6,75.6,79,77.3,70.7,82.8,69.6,77.2,69.2,77.2,78.3,77.4
72,85.1,50.7,69.7,65.9,69.7,72.3,69.5,83.3,74.3,97.8,75.4,81.5,60.8,76.1,81,73.8,70.6,78.8,67.6,76.6,66.7,65.1,78,75.8
