제주특별자치도,제주특별자치도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주시,서귀포시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.2,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.1,73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.7,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.6,72.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.8,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.8,67.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.6,68.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.7,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.7,71.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
