시도,전국,수도권,지방,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,세종특별자치시,세종특별자치시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,제주특별자치도
시군구,소계,소계,소계,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,소계,수원장안구,수원권선구,수원팔달구,수원영통구,성남수정구,성남중원구,성남분당구,의정부시,안양만안구,안양동안구,부천시,광명시,평택시,동두천시,안산상록구,안산단원구,고양덕양구,고양일산동구,고양일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인처인구,용인기흥구,용인수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군,소계,중구,동구,미추홀구,연수구,남동구,부평구,계양구,서구,강화군,옹진군,소계,세종특별자치시,소계,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,소계,중구,동구,서구,남구,북구,수성구,달서구,달성군,군위군,소계,동구,서구,남구,북구,광산구,소계,동구,중구,서구,유성구,대덕구,소계,중구,남구,동구,북구,울주군,소계,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,소계,청주상당구,청주서원구,청주흥덕구,청주청원구,충주시,제천시,보은군,옥천군,영동군,증평군,진천군,괴산군,음성군,단양군,소계,천안동남구,천안서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,소계,전주완산구,전주덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,소계,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,소계,포항남구,포항북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,소계,창원의창구,창원성산구,창원마산합포구,창원마산회원구,창원진해구,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,소계,제주시,서귀포시
202208,83.1,83.7,78.4,81.2,71.8,83,50.9,70,86.5,80.5,82.5,66.5,84.6,78.6,76.7,81.3,78.4,75.4,81.2,86.4,79.5,83.6,77.5,82.3,85.3,75.4,80.7,82.4,88.7,83.6,85.7,80.8,86.1,,65.5,63.7,70.1,75.1,76.2,65,84.5,,89.6,88.5,94.6,82.1,84.7,93.8,81.4,,52.3,81.7,90.2,73.6,60.1,74.2,,86.1,81.1,91.2,88.2,92.3,,84.4,107.7,88.5,46.5,91.5,,83.6,,85,88.2,76.1,,93.3,84.9,89,81.6,86.4,90.2,,,104.5,104.5,66.7,,,,,,,66.5,81,55.7,83,82.7,,128,46.8,,,75,,,,,,,,,,76,,,,,66,75.2,,74.3,78.8,,71.7,72.9,,76.6,,,,80.1,66.8,,91.8,,,54.4,,95.6,,,,,,,,,,,81.3,,,77.7,,83.3,,,,,,,,,,93.6,,91.2,,,,,,,,,,,,,,,80.7,65.7,,,,,,,,,,,,,,,82,,68.4,,,97.6,,,,,,,,,,,,,,,,,,80.3,78,74.6,121.5,,,94,,,,,,,,,,,,,,,,,,86,,,,85.1,74.1,,,,88.9,,,,,,,,,,,,,,83.3,83.2,83.3
202209,83.4,83.8,80.5,82,72.5,77.7,51.6,78.1,86.3,75.3,76.7,72.6,91.2,84.2,75.5,80.3,72.4,78,87.4,85,77.5,82.1,79.8,85.4,91.9,75.9,88.3,85.4,88.4,83.3,83.5,74.9,82.8,,64.2,61.3,,69.7,71.6,73.2,84.4,,86.1,84.1,100.7,76.1,81.7,97.4,68.3,,57.1,84.6,87.2,75.4,71.3,,,84.7,81.1,,80.2,102.1,,78,102,87.5,69.1,78.2,74.8,,,81.4,87.8,81.3,,91.8,76,88.4,80.8,87.6,89.7,,,91.7,91.7,67,,,,,,75.3,65.3,76.8,60,63.2,66.2,,127.4,44.4,64.6,,68.9,,,,,,,,,,74.6,,,,,,88.8,,98.8,78.9,,85,59.4,,,,,,83.4,80.6,,96.9,,,73.1,,,,,59.5,,,,,,,,86.6,,,,97.8,77.5,,,,,,,,,,79.5,74.9,91.5,,,80.3,,,,,,,,,,,,92.1,73.8,,,,,,,,,,,,,,,89.6,,,,,96.8,,,,,,,,,,,,,,,,,,90.1,89.8,101.8,96.8,,,102.6,,,,,,,,,,,,,,,,,,90,,,,,71.9,,,,94.4,,,,,,,,,,,,,,77.7,81.1,73.5
202210,82.2,82.7,78.9,79.9,83,,49.4,67.1,80,80.4,77.2,68.6,91.2,87.7,72.9,76.1,80.4,74.1,83.6,86.5,70.9,82.2,80,75.5,92.7,77.9,82.1,78.3,89.5,82.2,74.3,78.6,78.5,,57.6,66.5,,74.7,73.2,,81.4,,90.5,84.5,94.6,79.4,81.2,93.1,73.1,,,83.1,107.6,75.2,62.2,,,80.3,75.1,92.6,86.5,88.7,85.7,79.5,94.4,85.2,75.9,85.7,75.8,,,80.5,88.7,74.7,,89.3,78.9,92.1,85.9,91.3,88.6,,,116.8,116.8,63.3,,,,,52.4,,75.1,74.5,54.3,,,,,46.1,74.8,,94.5,,,,,,,,,,71.9,,,,,44.9,93.1,98.6,,,,98.6,69.8,,,,,,72.2,,,,,,70.3,,95,,,56.8,,,,,,,,85.7,89.6,,,97.4,77.3,,,,,,,,,,83.8,92.4,,,,,,,,,,,,,,,,83.8,80.2,,,,,,,,,,,,,,,85.6,,,,,97.4,,,,,,,,,,,,,,,,,,88.2,87.1,94.2,,,,98.8,,,,,,,,,,,,,,,,,,85.6,,,,,,,,,,,,,,,,,,,,,,,74.8,78.2,71
202211,82,82.6,78.2,80.3,75.9,,50.7,56.6,77.6,72.3,81,73.8,88.5,76.9,76.4,76.3,88.2,74.4,79.4,86.1,74.8,80.4,78.4,80.9,89.8,75.2,84.2,83.6,96.7,81.2,74.1,72.9,82.3,,60.2,59.6,,71.3,71.6,,81.1,77.2,91.6,,94.5,84.5,76.6,85.8,96.4,,,84.8,87.5,74.1,60,,,80.9,80.1,92.4,89.6,86,,74.5,79.1,86,78.8,95.1,,,,,87.8,74.8,,89.7,78.7,92.5,84.4,87.4,86.9,92.1,,,,66.7,,,,,47.4,79.1,,,57.8,,,,,,86.9,,83.4,,,,,,,,,,70.5,,,,,64.9,85.3,91.4,,,,73.8,71,,,,,,82.8,,,,,,62,,97.5,,,,,,,,,,,78,,,,65.1,,,,,,,,,,,91,123.5,100.8,,,,,,,,,,,,,,,82,86.9,,,,,,,,,,,,,,,84.7,,,,,97,,,,,,,,,,,,,,,,,,93.2,,102.4,,,,,,,,,,,,,,,,,,,,,,82.3,,,,,,,,,,,,,,,,,,,,,,,70.1,73.7,67.9
202212,81.7,82.2,78.7,78.6,71.4,,48.6,59.1,73.2,75.9,85.2,71.4,82.1,80.1,79.1,81.9,95,72.3,82.8,82,64.7,83,77.1,80,87.6,76,74.9,79.1,75.8,82.9,80.7,80.1,80.8,63.9,64.9,71.9,64.7,72.1,66.2,46.6,86.5,,94.5,75.3,86.4,75.7,79.2,86.3,87.7,,,80.3,119.5,91,64.2,,,83.6,81.8,103.7,90.5,89.4,,75,88.6,84.5,,84.8,91.5,,,,87.1,72.5,,92.8,,88.7,84,87.2,86.4,79.2,,,,59.1,,,,,59.8,63.5,,,51.4,,,,,,,,86.8,,,,,,,,,,72.8,,,,,64.2,86.8,111.2,90,,,70.9,,,,,,,87.8,,,118.1,,,,,96,,,,,,,,,,,80,,,,75.4,,,,,,,,,,,97.2,120.7,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.9,,,,,92.2,,,,,,,,,,,,,,,,,,90.2,112.9,,,,,,,,,,,,,,,,,,,,,,,81.2,,,,,95.2,,,,,,,,,,,,,,,,,,76.2,80.6,72.2
202301,80.7,81.3,78.2,78,54.6,79.9,46.8,,79.7,75,79,70.2,87.5,83.1,78.9,74.8,81.2,76.6,77.5,81.4,70.6,85.5,72.2,89.1,84.4,67.8,80.7,77.9,81.1,81.3,82.5,71.9,96.2,60.4,76.1,74.6,,70.4,76.6,,87.2,57.4,93.5,77.5,86.3,72.6,78,103.8,74.2,,,75.4,111.4,65.1,62.5,,,82.1,75.9,88,91.3,91.2,,58.2,82.2,86.2,,,,,,,87.6,68.4,,97,,89.7,90.8,81.8,83.4,,,103.1,103.1,64.4,,,,,,65.1,,,57.9,63.5,,,,59.8,,,,,,,,,,,,,76.9,,,,,66.6,77.3,,72.3,,,84.8,,,,,,,85.4,,,119.7,,,,,,,,,,,,,,,,80.2,,,,,,,,,,,,,,,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.3,,,,,95.6,,,,,,,,,,,,,,,,,,90.2,,,,,,,,,,,,,,,,,,,,,,,,73.5,,,,,,,,,,,,,,,,,,,,,,,73.1,75.8,70
202302,79.6,80.2,76.8,77.8,54,83.6,49.4,80.2,84.2,77.7,79,,87.6,90.7,69.8,70.9,68.7,72.6,74.1,81.7,80.2,74.1,92.9,77.8,72.4,79.8,77.3,83.1,80.9,80,80.3,67.9,84.6,59.3,,,59.4,72.1,,,85.6,,85,,79.3,63.8,66.4,105.7,73.4,,,77.9,,74.3,76.5,,,88.2,81.1,,90.6,95.6,,71.2,63,87.4,,69.1,,,,,87.7,67.6,,96.9,,97.1,83.4,74.3,85.7,,,105.9,105.9,62.7,,,,,51.4,,,,,57.8,,,,57.5,,,70.2,,,,,,,,,,72,,,,,64.7,78.6,,71,,,,,,,,,,79.7,,,105.4,,,,,,,,,,,,,,,,81.4,,,,,,,,,,,,,,,100.7,,,,,,,,,,,,,,,,,82.4,,,,,,,,,,,,,,,,81.7,,,,,89.6,,,,,,,,,,,,,,,,,,88.3,59.1,,,106.8,,,,,,,,,,,,,,,,,,,,93.1,,,,,,,,,,,,,,,,,,,,,,,71,73.8,67.2
202303,77.1,77.4,75.8,76.8,55.5,82.9,50.9,84.1,83.4,77.4,77.8,79,84.9,85.2,65.8,76.6,62.9,67,77.9,81.4,84,72.7,86.3,72,74.5,75.4,74.2,82.7,80.2,74.1,89,67.2,95.1,63.4,74.3,50.8,51.7,69.7,77.3,,78.4,66.4,100.4,,75.3,56.7,67.6,85,,,,74.3,,74.7,73.3,,,88.1,76,,94.5,,,72.6,55.9,80.2,,,,,,79.8,84.1,74.5,,89.9,,88.9,85.6,78.4,81.3,,,,,56.3,,,,,32.3,,,,58.6,52.9,,,,45,,,63.8,,,,,70.9,,,,,70.7,,,,,65.3,100.7,,85.8,,,131.8,,,,,,,78.3,,,83.8,,,,,,,,,,,,,,,,89.5,,,,,,,,,,,,,,,89.4,,,,,,,,,83.6,,,,,,78.2,,87.2,,,,,,,,,,,,,,,,82.7,,,,,90.4,,,,,,,,,,,,,,,,,,89.1,,,,,,,,,,,,,,,,,,,,,,,,79.3,,,,,,,,,,,,,,,,,,,,,,,70.8,72.6,68.6
202304,75.9,76,75.2,74.2,58.3,84.7,49.5,77.6,75.2,59.3,75,73.4,84.8,76.4,72.9,79.5,56.9,65.6,75.6,79,77.3,70.7,82.8,69.6,77.2,69.2,77.2,78.3,77.4,73.1,90.2,65.2,92.4,64.2,69.4,52,50.2,80.6,73.9,,77,72.4,97.7,,72.9,51.7,71.4,72.7,,62.3,52.5,78,,83.3,65.2,67.6,,87,73.9,74.3,91.2,100.5,,74.4,54,80,,56.2,,,,,85.5,73.5,,87.3,,90.7,84.4,91,83.9,93.9,,,,60.6,,,,,61.2,,,,57.7,58.3,,47.6,,54.4,,,66.9,,,,,,,,,,70.3,,,,,65.3,91.2,,,,,,79.9,,,,,,79,77.8,,83.3,,,60.4,,,,,,,,,,,,,81.9,,,,,,,,,,,,,,,80.2,,,,,,,,,67.4,,,,,,,,88.1,,,,,,,,,,,,,,,,81,,76.3,,,89.7,,,,,,,,,,,,,,,,,,76.7,,64.8,,,,,,,,,,,,,,,,,,,,,,78.8,,73.4,,,,,,91.3,91,60.1,,,,,,,,,,,,,74.1,71.7,76
202305,74.7,74.8,73.9,73.3,72,85.1,50.7,69.7,65.9,69.7,72.3,69.5,83.3,74.3,97.8,75.4,81.5,60.8,76.1,81,73.8,70.6,78.8,67.6,76.6,66.7,65.1,78,75.8,72.1,91.7,60.4,94,61.6,65.3,54,55.6,73.7,69.9,,79.7,69.5,94.7,,89.4,48.1,69.3,72.8,,54.9,55.1,72.1,77,78.2,69.7,,,82.6,75.8,76.5,82.8,87.3,,64.8,71.3,79.7,94.4,71.8,,,,,82.5,75.9,,87.8,68,82.4,76.4,86,84.1,96.2,,94.1,94.1,59.4,,,,,78.7,,,,,,,,,49,,,73.9,,,,,,,,,,64.9,,,,,60.9,79.6,,81.8,58.8,,,67.2,,,,,,74.8,,,75.7,,,58.8,,,,,67.2,,,,,,,,76.6,,,,,,,,,,,,,,,79.7,,,,65.3,,,,,83.5,,,,,,,,71.8,,,,,,,,,,,,,,,,78.4,,62.1,,,88.7,,,,,,,,,,,,,,,,,,75.5,,70.4,,,,,,,,,,,,,,,,,,,,,,89.3,,,,,,,,,,,74.6,,,,,,,,,,,,71.4,70.7,71.7
