서울특별시,경기도,인천광역시,세종특별자치시,부산광역시,대구광역시,광주광역시,대전광역시,울산광역시,강원특별자치도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주특별자치도
81.2,83.6,88.2,104.5,66.7,75,76,75.2,72.9,80.1,81.3,93.6,80.7,82,80.3,86,83.3
82,83.3,87.8,91.7,67,68.9,74.6,88.8,59.4,83.4,86.6,79.5,92.1,89.6,90.1,90,77.7
79.9,82.2,88.7,116.8,63.3,94.5,71.9,93.1,69.8,72.2,85.7,83.8,83.8,85.6,88.2,85.6,74.8
80.3,81.2,87.8,,66.7,83.4,70.5,85.3,71,82.8,78,91,82,84.7,93.2,82.3,70.1
78.6,82.9,87.1,,59.1,86.8,72.8,86.8,,87.8,80,97.2,,83.9,90.2,81.2,76.2
78,81.3,87.6,103.1,64.4,,76.9,77.3,,85.4,80.2,84.1,,91.3,90.2,73.5,73.1
77.8,80,87.7,105.9,62.7,70.2,72,78.6,,79.7,81.4,100.7,82.4,81.7,88.3,93.1,71
76.8,74.1,84.1,,56.3,63.8,70.7,100.7,,78.3,89.5,89.4,87.2,82.7,89.1,79.3,70.8
74.2,73.1,85.5,,60.6,66.9,70.3,91.2,79.9,79,81.9,80.2,88.1,81,76.7,78.8,74.1
73.3,72.1,82.5,94.1,59.4,73.9,64.9,79.6,67.2,74.8,76.6,79.7,71.8,78.4,75.5,89.3,71.4
