,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2007,,,2020,명동 엠퍼스트플레이스,충무로2가,"2,000",중구,5,170,9,41.29,,,48-2,11140,13
1,,2007,,,2020,명동 엠퍼스트플레이스,충무로2가,"5,000",중구,5,60,23,20.28,,,48-2,11140,3
2,,2020,,,2020,이지마루 충무로,충무로5가,"26,000",중구,5,0,14,35.57,,,36-19,11140,6
3,,2020,,,2020,이지마루 충무로,충무로5가,"29,000",중구,5,0,23,35.57,,,36-19,11140,7
4,,2016,,,2020,충무로엘크루메트로시티2,충무로5가,"2,000",중구,5,65,30,23.03,,,36-2,11140,14
5,,2016,,,2020,충무로엘크루메트로시티2,충무로5가,"3,000",중구,5,60,30,23.03,,,36-2,11140,19
6,,2003,,,2020,정건벨라지오오피스텔,을지로5가,"9,000",중구,5,0,9,21.94,,,20-1,11140,7
7,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,4
8,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,4
9,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,6
10,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,3
11,,2019,,,2020,정석그라시아,오장동,100,중구,5,32,15,21.17,,,90-8,11140,6
12,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,5
13,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,5
14,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,6
15,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,4
16,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,15,20.81,,,90-8,11140,3
17,,2019,,,2020,정석그라시아,오장동,100,중구,5,32,16,21.17,,,90-8,11140,4
18,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,16,20.81,,,90-8,11140,6
19,,2019,,,2020,정석그라시아,오장동,100,중구,5,32,16,21.17,,,90-8,11140,5
20,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,17,20.81,,,90-8,11140,7
21,,2019,,,2020,정석그라시아,오장동,100,중구,5,32,17,21.17,,,90-8,11140,3
22,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,18,20.81,,,90-8,11140,4
23,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,18,20.81,,,90-8,11140,7
24,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,18,20.81,,,90-8,11140,5
25,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,18,20.81,,,90-8,11140,2
26,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,18,20.81,,,90-8,11140,5
27,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,19,20.81,,,90-8,11140,3
28,,2019,,,2020,정석그라시아,오장동,100,중구,5,31,19,20.81,,,90-8,11140,3
29,,2013,,,2020,엘크루 메트로시티,충무로3가,"21,000",중구,5,0,13,26.78,,,49,11140,16
30,,2013,,,2020,엘크루 메트로시티,충무로3가,"20,000",중구,5,0,17,26.65,,,49,11140,17
31,,2013,,,2020,엘크루 메트로시티,충무로3가,"1,000",중구,5,80,26,28.94,,,49,11140,10
32,,2018,,,2020,제이매크로 타워,저동2가,"16,800",중구,5,0,9,19.35,,,7-2,11140,8
33,,2018,,,2020,제이매크로 타워,저동2가,"1,000",중구,5,75,19,19.35,,,7-2,11140,6
34,,2018,,,2020,제이매크로 타워,저동2가,"10,000",중구,5,30,20,19.35,,,7-2,11140,10
35,,2018,,,2020,제이매크로 타워,저동2가,"3,000",중구,5,70,27,19.35,,,7-2,11140,12
36,,2018,,,2020,제이매크로 타워,저동2가,"17,850",중구,5,0,30,19.35,,,7-2,11140,10
37,,2018,,,2020,아리스타 에스디,신당동,"5,000",중구,5,60,14,18.7,,,160-1,11140,15
38,,2014,,,2020,신당아르브,신당동,"14,500",중구,5,0,20,21.31,,,160-5,11140,12
39,,2018,,,2020,아리스타 에스디,신당동,"3,000",중구,5,68,20,18.7,,,160-1,11140,10
40,,2014,,,2020,신당아르브,신당동,"15,000",중구,5,0,26,21.31,,,160-5,11140,12
41,,2018,,,2020,대현프리몰,신당동,"1,000",중구,5,67,26,21.37,,,421-1,11140,7
42,,2018,,,2020,위더스하임,흥인동,"23,000",중구,5,0,1,29.76,,,142-1,11140,3
43,,2014,,,2020,청계천 두산위브더제니스,흥인동,"77,000",중구,5,0,7,46.74,,,13-1,11140,10
44,,2018,,,2020,위더스하임,흥인동,"19,000",중구,5,0,26,24.48,,,142-1,11140,4
45,,2004,,,2020,신당역올리브2,황학동,"2,000",중구,5,50,1,23.82,,,2484,11140,7
46,,2013,,,2020,한양 I-Class,황학동,"6,000",중구,5,22,1,19.05,,,787,11140,9
47,,2014,,,2020,DUO302,황학동,"1,000",중구,5,60,6,22.52,,,819,11140,2
48,,2018,,,2020,벨로하우스황학,황학동,"17,300",중구,5,0,7,26.47,,,1565,11140,2
49,,2010,,,2020,황학동 코아루,황학동,"24,100",중구,5,0,9,41.68,,,882,11140,5
50,,2018,,,2020,골드캐슬Ⅳ,황학동,"25,000",중구,5,0,12,44.29,,,1733,11140,6
51,,2016,,,2020,하늘드리움2차,황학동,"1,000",중구,5,100,14,38.31,,,876,11140,4
52,,2018,,,2020,청계 블루카운티,황학동,"20,000",중구,5,0,15,26.19,,,1720,11140,7
53,,2014,,,2020,DUO302,황학동,"2,000",중구,5,60,16,22.52,,,819,11140,17
54,,2016,,,2020,하늘드리움2차,황학동,"24,500",중구,5,0,16,38.32,,,876,11140,2
55,,2004,,,2020,신당역올리브2,황학동,"11,000",중구,5,0,16,23.82,,,2484,11140,6
56,,2004,,,2020,올리브1,황학동,"5,000",중구,5,30,16,25.05,,,808,11140,12
57,,2019,,,2020,MAVL PLACE,황학동,"1,000",중구,5,77,17,23.1,,,1596,11140,14
58,,2015,,,2020,하늘드리움,황학동,"26,000",중구,5,0,20,55.73,,,656,11140,8
59,,2019,,,2020,MAVL PLACE,황학동,"1,000",중구,5,80,21,26.75,,,1596,11140,13
60,,2014,,,2020,DUO302,황학동,"16,000",중구,5,0,23,22.52,,,819,11140,3
61,,2014,,,2020,DUO302,황학동,"10,000",중구,5,23,23,22.52,,,819,11140,5
62,,2016,,,2020,신당블루카운티,황학동,"3,000",중구,5,95,26,44.66,,,846,11140,9
63,,2018,,,2020,동광팰리스,황학동,"24,000",중구,5,0,27,36.6,,,1572,11140,3
64,,2019,,,2020,OR Plus Loft 오피스텔,황학동,"5,000",중구,5,73,28,27.09,,,1694,11140,5
65,,2013,,,2020,한양 I-Class,황학동,"4,000",중구,5,40,29,19.05,,,787,11140,11
66,,2014,,,2020,DUO302,황학동,"12,000",중구,5,0,30,22.52,,,819,11140,9
67,,2018,,,2020,골드캐슬Ⅳ,황학동,"23,000",중구,5,0,30,43.78,,,1733,11140,2
68,,2013,,,2020,한양 I-Class,황학동,"3,000",중구,5,47,30,19.05,,,787,11140,6
69,,2014,,,2020,DUO302,황학동,"3,000",중구,5,55,30,23.06,,,819,11140,8
70,,2016,,,2020,덕수궁롯데캐슬,순화동,"29,200",중구,5,0,5,36.15,,,217,11140,7
71,,2005,,,2020,바비엥-2,의주로1가,"1,000",중구,5,100,23,41.55,,,25-10,11140,13
72,,2005,,,2020,서울역 디오빌,만리동1가,"3,000",중구,5,120,6,56.17,,,62-7,11140,9
73,,2005,,,2020,서울역 디오빌,만리동1가,"38,000",중구,5,0,9,56.17,,,62-7,11140,2
74,,2005,,,2020,서울역 디오빌,만리동1가,"32,500",중구,5,0,23,56.17,,,62-7,11140,4
75,,2004,,,2020,KCC 파크타운,만리동2가,"40,000",중구,5,0,16,66.47,,,11-1,11140,7
