,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2003,,,2016,노블리안,상왕십리동,"10,000",성동구,1,0,22,30.81,,,750,11200,8
1,,2003,,,2016,노블리안,상왕십리동,"10,000",성동구,1,0,30,30.81,,,750,11200,4
2,,2011,,,2016,리오파크 오피스텔,하왕십리동,"3,000",성동구,1,40,11,22.97,,,898-2,11200,7
3,,2005,,,2016,동인 레반트 오피스텔,하왕십리동,"1,000",성동구,1,65,22,27.54,,,903-3,11200,6
4,,2011,,,2016,리오파크 오피스텔,하왕십리동,"2,000",성동구,1,50,30,22.82,,,898-2,11200,6
5,,1998,,,2016,신한넥스텔,도선동,"1,000",성동구,1,40,9,19.63,,,14,11200,6
6,,1988,,,2016,(797-16),마장동,"3,000",성동구,1,30,28,24.6,,,797-16,11200,4
7,,2004,,,2016,성동샤르망,행당동,"2,000",성동구,1,50,4,24.84,,,192-29,11200,12
8,,2006,,,2016,왕십리역이스타빌,행당동,"3,000",성동구,1,65,12,30.78,,,287-15,11200,6
9,,2006,,,2016,왕십리역이스타빌,행당동,"2,000",성동구,1,65,12,30.78,,,287-15,11200,6
10,,2004,,,2016,성동샤르망,행당동,"2,000",성동구,1,55,27,24.84,,,192-29,11200,5
11,,2004,,,2016,이에스에이리버하우스,성수동1가,"3,000",성동구,1,75,5,39.15,,,13-12,11200,3
12,,2004,,,2016,이에스에이리버하우스,성수동1가,"1,000",성동구,1,100,7,39.15,,,13-12,11200,3
13,,2004,,,2016,이에스에이리버하우스,성수동1가,"1,000",성동구,1,100,9,39.15,,,13-12,11200,11
14,,2015,,,2016,위더스 빌,성수동1가,"22,000",성동구,1,0,9,43.41,,,33-23,11200,6
15,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"4,000",성동구,1,40,11,29.23,,,72-69,11200,2
16,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"4,500",성동구,1,45,11,29.23,,,72-69,11200,2
17,,2002,,,2016,백산오피스텔,성수동1가,"9,500",성동구,1,0,11,23.65,,,671-23,11200,7
18,,2003,,,2016,(670-147),성수동1가,"6,000",성동구,1,0,12,21.36,,,670-147,11200,10
19,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"2,000",성동구,1,65,12,32.76,,,72-69,11200,10
20,,2004,,,2016,이에스에이리버하우스,성수동1가,"1,000",성동구,1,100,12,39.15,,,13-12,11200,9
21,,2004,,,2016,이에스에이리버하우스,성수동1가,"3,000",성동구,1,80,14,39.15,,,13-12,11200,2
22,,2005,,,2016,뚝섬리버빌,성수동1가,"1,000",성동구,1,60,20,29,,,13-117,11200,3
23,,2013,,,2016,서울숲오피스텔,성수동1가,"22,000",성동구,1,0,23,44.16,,,656-392,11200,5
24,,2005,,,2016,뚝섬리버빌,성수동1가,"2,000",성동구,1,50,25,26.02,,,13-117,11200,3
25,,2005,,,2016,뚝섬리버빌,성수동1가,"3,000",성동구,1,55,25,26.26,,,13-117,11200,5
26,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"2,500",성동구,1,55,25,31.6,,,72-69,11200,7
27,,2004,,,2016,이에스에이리버하우스,성수동1가,"3,000",성동구,1,80,29,39.15,,,13-12,11200,12
28,,2004,,,2016,성수 그린빌,성수동1가,"12,000",성동구,1,0,30,34.59,,,685-54,11200,4
29,,2004,,,2016,이에스에이리버하우스,성수동1가,"5,000",성동구,1,120,30,63.74,,,13-12,11200,7
30,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"5,000",성동구,1,30,5,24.84,,,277-37,11200,8
31,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"3,000",성동구,1,45,5,28.08,,,277-37,11200,2
32,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"3,000",성동구,1,45,6,24.84,,,277-37,11200,10
33,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"3,000",성동구,1,45,11,28.08,,,277-37,11200,3
34,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"3,000",성동구,1,40,15,18.33,,,277-101,11200,8
35,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,500,성동구,1,60,15,28.08,,,277-37,11200,3
36,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"1,000",성동구,1,52,18,18.33,,,277-101,11200,2
37,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"3,000",성동구,1,40,19,18.33,,,277-101,11200,8
38,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"3,000",성동구,1,42,25,24.84,,,277-37,11200,11
39,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"2,000",성동구,1,45,30,28.47,,,277-37,11200,2
40,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"3,000",성동구,1,43,30,24.84,,,277-37,11200,4
41,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,1,0,22,30.92,,,81-16,11200,3
42,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,1,0,27,30.92,,,81-16,11200,8
43,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,1,48,5,16.21,,,229-10,11200,9
44,,2006,,,2016,신창비바패밀리,용답동,"23,000",성동구,1,0,9,56,,,232-1,11200,14
45,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,1,40,9,16.21,,,229-10,11200,8
46,,2013,,,2016,어반 오피스텔,용답동,"3,000",성동구,1,42,9,18.98,,,229-10,11200,8
47,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,1,52,9,16.21,,,229-10,11200,3
48,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,1,45,10,16.21,,,229-10,11200,8
49,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,1,57,11,16.21,,,229-10,11200,4
50,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,1,49,11,16.21,,,229-10,11200,2
51,,2011,,,2016,오르세오피스텔,용답동,"4,000",성동구,1,45,11,33.2,,,238-2,11200,4
52,,2006,,,2016,신창비바패밀리,용답동,"1,000",성동구,1,75,11,42.75,,,232-1,11200,3
53,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,1,45,12,16.21,,,229-10,11200,7
54,,2011,,,2016,오르세오피스텔,용답동,"1,000",성동구,1,85,14,42.3,,,238-2,11200,2
55,,2011,,,2016,오르세오피스텔,용답동,"14,000",성동구,1,15,15,48.5,,,238-2,11200,8
56,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,1,56,16,20.46,,,229-10,11200,3
57,,1991,,,2016,삼호오피스텔,용답동,"3,000",성동구,1,10,16,26.95,,,236-5,11200,7
58,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,1,49,16,16.21,,,229-10,11200,2
59,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,1,57,18,16.21,,,229-10,11200,2
60,,1991,,,2016,삼호오피스텔,용답동,500,성동구,1,30,19,23.59,,,236-5,11200,6
61,,2006,,,2016,신창비바패밀리,용답동,"3,000",성동구,1,100,22,65.95,,,232-1,11200,3
62,,2011,,,2016,오르세오피스텔,용답동,"12,000",성동구,1,0,22,35.1,,,238-2,11200,2
63,,2006,,,2016,신창비바패밀리,용답동,"3,000",성동구,1,95,23,56,,,232-1,11200,5
64,,2011,,,2016,오르세오피스텔,용답동,"15,000",성동구,1,0,23,42.3,,,238-2,11200,3
65,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,1,57,23,16.21,,,229-10,11200,4
66,,2006,,,2016,신창비바패밀리,용답동,"21,000",성동구,1,0,26,56,,,232-1,11200,6
67,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,1,54,26,18.98,,,229-10,11200,5
68,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,1,57,30,20.46,,,229-10,11200,8
69,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,1,54,30,18.98,,,229-10,11200,3
0,,2003,,,2016,노블리안,상왕십리동,"10,000",성동구,2,0,1,30.81,,,750,11200,5
1,,2003,,,2016,노블리안,상왕십리동,"10,000",성동구,2,0,1,30.81,,,750,11200,7
2,,2003,,,2016,노블리안,상왕십리동,"10,000",성동구,2,0,2,30.81,,,750,11200,10
3,,2003,,,2016,노블리안,상왕십리동,"4,000",성동구,2,40,3,30.81,,,750,11200,8
4,,2003,,,2016,노블리안,상왕십리동,"6,000",성동구,2,30,20,30.81,,,750,11200,9
5,,2003,,,2016,노블리안,상왕십리동,"10,000",성동구,2,0,25,30.81,,,750,11200,4
6,,2003,,,2016,노블리안,상왕십리동,"12,000",성동구,2,0,27,30.81,,,750,11200,15
7,,2003,,,2016,노블리안,상왕십리동,"6,000",성동구,2,30,29,30.81,,,750,11200,7
8,,2005,,,2016,동인 레반트 오피스텔,하왕십리동,"1,000",성동구,2,70,3,33.34,,,903-3,11200,5
9,,2011,,,2016,리오파크 오피스텔,하왕십리동,"5,000",성동구,2,40,3,22.97,,,898-2,11200,13
10,,2011,,,2016,리오파크 오피스텔,하왕십리동,"9,000",성동구,2,0,15,22.82,,,898-2,11200,4
11,,2005,,,2016,동인 레반트 오피스텔,하왕십리동,"2,000",성동구,2,75,19,33.34,,,903-3,11200,3
12,,1998,,,2016,신한넥스텔,도선동,"13,000",성동구,2,0,23,39.26,,,14,11200,15
13,,2002,,,2016,금호힐오피스텔,금호동1가,"8,000",성동구,2,0,27,29.97,,,1755,11200,5
14,,2003,,,2016,재호예향빌,금호동4가,"7,000",성동구,2,0,4,23.33,,,1028,11200,2
15,,2003,,,2016,재호예향빌,금호동4가,"7,500",성동구,2,0,27,24.48,,,1028,11200,4
16,,2004,,,2016,성원상떼뷰,옥수동,"1,000",성동구,2,60,11,27.01,,,475,11200,13
17,,2004,,,2016,성원상떼뷰,옥수동,"1,000",성동구,2,70,17,29.54,,,475,11200,13
18,,2004,,,2016,성원상떼뷰,옥수동,"5,000",성동구,2,40,20,27.01,,,475,11200,2
19,,2005,,,2016,뚝섬리버빌,성수동1가,500,성동구,2,70,2,29,,,13-117,11200,5
20,,2015,,,2016,위더스 빌,성수동1가,"22,500",성동구,2,0,3,43.41,,,33-23,11200,2
21,,2005,,,2016,뚝섬리버빌,성수동1가,"12,500",성동구,2,0,3,33.94,,,13-117,11200,7
22,,2004,,,2016,Biz-Well 성수,성수동1가,"3,000",성동구,2,38,12,24.69,,,33-21,11200,3
23,,2004,,,2016,이에스에이리버하우스,성수동1가,"17,000",성동구,2,0,12,39.15,,,13-12,11200,2
24,,2004,,,2016,Biz-Well 성수,성수동1가,"1,000",성동구,2,58,13,24.69,,,33-21,11200,5
25,,2004,,,2016,이에스에이리버하우스,성수동1가,"10,000",성동구,2,90,13,63.74,,,13-12,11200,13
26,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"2,000",성동구,2,60,15,29.23,,,72-69,11200,3
27,,2004,,,2016,Biz-Well 성수,성수동1가,"3,000",성동구,2,38,15,24.69,,,33-21,11200,7
28,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"2,000",성동구,2,60,16,32.76,,,72-69,11200,4
29,,2004,,,2016,이에스에이리버하우스,성수동1가,"6,200",성동구,2,50,18,39.15,,,13-12,11200,2
30,,2004,,,2016,Biz-Well 성수,성수동1가,"3,000",성동구,2,40,19,26.67,,,33-21,11200,4
31,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"2,500",성동구,2,50,20,32.39,,,72-69,11200,3
32,,2005,,,2016,뚝섬리버빌,성수동1가,"1,000",성동구,2,60,22,29,,,13-117,11200,5
33,,2004,,,2016,성수 그린빌,성수동1가,"15,000",성동구,2,0,22,34.59,,,685-54,11200,4
34,,2004,,,2016,이에스에이리버하우스,성수동1가,"19,000",성동구,2,0,22,39.15,,,13-12,11200,6
35,,2003,,,2016,아트빌딩,성수동1가,"12,000",성동구,2,0,24,26.9,,,685-308,11200,5
36,,2005,,,2016,뚝섬리버빌,성수동1가,"13,500",성동구,2,0,27,42.94,,,13-117,11200,4
37,,2004,,,2016,Biz-Well 성수,성수동1가,"18,000",성동구,2,0,28,45.1,,,33-21,11200,6
38,,2004,,,2016,이에스에이리버하우스,성수동1가,"28,000",성동구,2,0,29,63.74,,,13-12,11200,9
39,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"11,000",성동구,2,0,1,28.08,,,277-37,11200,4
40,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,700,성동구,2,55,2,24.84,,,277-37,11200,8
41,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"11,000",성동구,2,0,3,24.84,,,277-37,11200,4
42,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"1,000",성동구,2,53,13,18.33,,,277-101,11200,3
43,,2016,,,2016,그루빌1차,성수동2가,"5,000",성동구,2,50,16,37.1,,,289-198,11200,2
44,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"11,500",성동구,2,0,17,28.08,,,277-37,11200,9
45,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"2,000",성동구,2,50,18,18.33,,,277-101,11200,6
46,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"1,000",성동구,2,57,22,28.47,,,277-37,11200,5
47,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"1,000",성동구,2,55,22,24.84,,,277-37,11200,10
48,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"1,000",성동구,2,53,24,18.33,,,277-101,11200,3
49,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,2,0,12,31.19,,,81-16,11200,5
50,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,2,0,12,30.92,,,81-16,11200,5
51,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,2,0,18,31.19,,,81-16,11200,7
52,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,2,0,20,31.19,,,81-16,11200,8
53,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,2,0,24,31.19,,,81-16,11200,3
54,,2011,,,2016,오르세오피스텔,용답동,"1,000",성동구,2,75,3,33.2,,,238-2,11200,7
55,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,2,57,6,16.21,,,229-10,11200,4
56,,2006,,,2016,신창비바패밀리,용답동,"15,000",성동구,2,0,12,51.5,,,232-1,11200,6
57,,2013,,,2016,어반 오피스텔,용답동,"1,000",성동구,2,57,16,16.21,,,229-10,11200,6
58,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,2,56,23,20.46,,,229-10,11200,4
59,,2006,,,2016,신창비바패밀리,용답동,"23,000",성동구,2,0,24,60.45,,,232-1,11200,9
60,,2011,,,2016,오르세오피스텔,용답동,"1,000",성동구,2,110,26,46.25,,,238-2,11200,5
61,,1990,,,2016,(228-1),용답동,"1,000",성동구,2,15,28,23.43,,,228-1,11200,4
0,,2003,,,2016,노블리안,상왕십리동,"1,000",성동구,3,65,2,30.81,,,750,11200,11
1,,2003,,,2016,노블리안,상왕십리동,"10,000",성동구,3,0,7,30.81,,,750,11200,2
2,,2003,,,2016,노블리안,상왕십리동,"13,000",성동구,3,0,14,25.74,,,750,11200,11
3,,2009,,,2016,왕십리 모노퍼스 주상복합,하왕십리동,"2,000",성동구,3,65,1,38.67,,,286-2,11200,13
4,,2005,,,2016,동인 레반트 오피스텔,하왕십리동,"8,000",성동구,3,0,3,27.54,,,903-3,11200,12
5,,2011,,,2016,리오파크 오피스텔,하왕십리동,"1,000",성동구,3,60,12,22.82,,,898-2,11200,10
6,,1998,,,2016,신한넥스텔,도선동,"1,000",성동구,3,44,5,19.63,,,14,11200,9
7,,2010,,,2016,고운타워,마장동,"3,500",성동구,3,35,21,24.15,,,474-5,11200,7
8,,2007,,,2016,마장동청계아르테미스,마장동,"15,000",성동구,3,0,25,39.36,,,778-5,11200,7
9,,2004,,,2016,성동샤르망,행당동,"1,000",성동구,3,60,10,24.84,,,192-29,11200,5
10,,2006,,,2016,왕십리역이스타빌,행당동,"6,000",성동구,3,50,19,29.43,,,287-15,11200,9
11,,2002,,,2016,금호힐오피스텔,금호동1가,"1,000",성동구,3,60,4,29.97,,,1755,11200,5
12,,2004,,,2016,성원상떼뷰,옥수동,"1,000",성동구,3,70,21,27.01,,,475,11200,12
13,,2005,,,2016,뚝섬리버빌,성수동1가,"9,500",성동구,3,0,4,20.19,,,13-117,11200,7
14,,2003,,,2016,(670-147),성수동1가,"6,000",성동구,3,20,5,21.36,,,670-147,11200,6
15,,2002,,,2016,백산오피스텔,성수동1가,"9,500",성동구,3,0,5,23.65,,,671-23,11200,2
16,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"1,000",성동구,3,70,7,32.76,,,72-69,11200,9
17,,2004,,,2016,이에스에이리버하우스,성수동1가,"8,000",성동구,3,50,8,39.15,,,13-12,11200,12
18,,2005,,,2016,뚝섬리버빌,성수동1가,"14,000",성동구,3,0,8,49.35,,,13-117,11200,9
19,,2004,,,2016,Biz-Well 성수,성수동1가,"3,000",성동구,3,40,12,26.67,,,33-21,11200,6
20,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"3,000",성동구,3,50,12,30.81,,,72-69,11200,8
21,,2005,,,2016,뚝섬리버빌,성수동1가,"13,000",성동구,3,0,12,34.78,,,13-117,11200,2
22,,2004,,,2016,Biz-Well 성수,성수동1가,"3,000",성동구,3,38,12,25.52,,,33-21,11200,7
23,,2002,,,2016,백산오피스텔,성수동1가,"8,000",성동구,3,0,14,23.65,,,671-23,11200,3
24,,2013,,,2016,서울숲오피스텔,성수동1가,"2,000",성동구,3,110,14,49.16,,,656-392,11200,3
25,,2004,,,2016,이에스에이리버하우스,성수동1가,"4,000",성동구,3,70,17,39.15,,,13-12,11200,4
26,,2004,,,2016,Biz-Well 성수,성수동1가,"3,000",성동구,3,40,19,26.67,,,33-21,11200,6
27,,2004,,,2016,Biz-Well 성수,성수동1가,"3,000",성동구,3,40,19,26.67,,,33-21,11200,2
28,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"3,000",성동구,3,50,21,32.39,,,72-69,11200,3
29,,2004,,,2016,Biz-Well 성수,성수동1가,"3,000",성동구,3,32,23,19.08,,,33-21,11200,10
30,,2005,,,2016,뚝섬리버빌,성수동1가,"1,500",성동구,3,50,24,23.17,,,13-117,11200,3
31,,2004,,,2016,이에스에이리버하우스,성수동1가,"1,000",성동구,3,95,25,39.15,,,13-12,11200,12
32,,2003,,,2016,아트빌딩,성수동1가,"12,000",성동구,3,0,28,27.02,,,685-308,11200,7
33,,2004,,,2016,이에스에이리버하우스,성수동1가,"4,000",성동구,3,75,28,39.15,,,13-12,11200,12
34,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"12,000",성동구,3,0,28,29.23,,,72-69,11200,7
35,,2003,,,2016,성수동 뉴타운오피스텔,성수동1가,"1,000",성동구,3,65,29,30.02,,,72-69,11200,3
36,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"4,000",성동구,3,30,2,18.33,,,277-101,11200,6
37,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"1,000",성동구,3,55,4,18.33,,,277-101,11200,7
38,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"2,000",성동구,3,50,5,28.08,,,277-37,11200,2
39,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"2,000",성동구,3,50,5,28.08,,,277-37,11200,5
40,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,500,성동구,3,60,15,18.33,,,277-101,11200,3
41,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"3,000",성동구,3,40,15,18.33,,,277-101,11200,6
42,,2013,,,2016,성수동램킨중흥S클래스오피스텔,성수동2가,"1,000",성동구,3,55,15,18.33,,,277-101,11200,6
43,,2003,,,2016,성원상떼뷰오피스텔,성수동2가,"1,000",성동구,3,60,17,28.08,,,277-37,11200,4
44,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,3,0,10,30.92,,,81-16,11200,3
45,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,3,0,12,30.92,,,81-16,11200,3
46,,2003,,,2016,송정동센스빌오피스텔,송정동,"12,000",성동구,3,0,18,30.92,,,81-16,11200,2
47,,2011,,,2016,오르세오피스텔,용답동,"4,000",성동구,3,45,1,33.2,,,238-2,11200,4
48,,2011,,,2016,오르세오피스텔,용답동,"12,000",성동구,3,0,4,35,,,238-2,11200,10
49,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,3,49,17,20.46,,,229-10,11200,7
50,,2011,,,2016,오르세오피스텔,용답동,"2,000",성동구,3,60,18,35.1,,,238-2,11200,3
51,,2011,,,2016,오르세오피스텔,용답동,"1,000",성동구,3,70,21,33.2,,,238-2,11200,5
52,,2013,,,2016,어반 오피스텔,용답동,"2,000",성동구,3,56,22,20.46,,,229-10,11200,6
53,,2006,,,2016,신창비바패밀리,용답동,"5,000",성동구,3,90,22,56.17,,,232-1,11200,15
54,,2011,,,2016,오르세오피스텔,용답동,"10,000",성동구,3,20,23,33.2,,,238-2,11200,8
55,,2011,,,2016,오르세오피스텔,용답동,"5,000",성동구,3,40,25,35,,,238-2,11200,4
0,,2003,,,2016,노블리안,상왕십리동,"2,000",성동구,4,60,9,30.81,,,750,11200,14
1,,2003,,,2016,노블리안,상왕십리동,"12,000",성동구,4,0,13,30.81,,,750,11200,15
2,,2011,,,2016,리오파크 오피스텔,하왕십리동,"10,000",성동구,4,0,1,22.11,,,898-2,11200,5
3,,2011,,,2016,리오파크 오피스텔,하왕십리동,500,성동구,4,65,7,22.11,,,898-2,11200,6
4,,2011,,,2016,리오파크 오피스텔,하왕십리동,"13,000",성동구,4,0,14,22.82,,,898-2,11200,12
5,,2011,,,2016,리오파크 오피스텔,하왕십리동,"1,000",성동구,4,60,16,22.82,,,898-2,11200,10
6,,2011,,,2016,리오파크 오피스텔,하왕십리동,"3,000",성동구,4,50,23,24.07,,,898-2,11200,7
7,,2011,,,2016,리오파크 오피스텔,하왕십리동,"2,500",성동구,4,50,25,22.11,,,898-2,11200,8
8,,2005,,,2016,동인 레반트 오피스텔,하왕십리동,"1,000",성동구,4,75,27,33.34,,,903-3,11200,15
9,,2011,,,2016,리오파크 오피스텔,하왕십리동,"5,000",성동구,4,30,30,22.82,,,898-2,11200,9
10,,2014,,,2016,J&J빌딩,도선동,"15,000",성동구,4,0,13,29.8,,,276,11200,6
11,,1998,,,2016,신한넥스텔,도선동,"8,000",성동구,4,0,27,19.63,,,14,11200,14
12,,2006,,,2016,왕십리역이스타빌,행당동,"12,000",성동구,4,0,15,26.22,,,287-15,11200,7
