,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1990,,,2016,(339-4),후암동,"1,000",용산구,1,50,3,34.38,,,339-4,11170,2
1,,2004,,,2016,갈월동 에이트리움,갈월동,"8,000",용산구,1,0,5,34.21,,,101-49,11170,21
2,,2004,,,2016,갈월동 에이트리움,갈월동,"1,000",용산구,1,80,16,30.97,,,101-49,11170,7
3,,2015,,,2016,트윈시티 남산,동자동,"1,000",용산구,1,100,21,27.69,,,56,11170,14
4,,2013,,,2016,센트레빌아스테리움서울,동자동,"30,000",용산구,1,0,23,47.39,,,45,11170,15
5,,2014,,,2016,아인하우스,원효로3가,"14,000",용산구,1,0,26,23.04,,,277-36,11170,3
6,,2010,,,2016,리첸시아 용산B,문배동,"30,000",용산구,1,0,7,40.23,,,40-31,11170,2
7,,2013,,,2016,용산큐브,문배동,"2,000",용산구,1,60,11,17.46,,,24-4,11170,11
8,,2007,,,2016,용산아크로타워,문배동,"35,000",용산구,1,0,25,51.45,,,24-21,11170,5
9,,2013,,,2016,용산큐브,문배동,"5,000",용산구,1,45,26,17.46,,,24-4,11170,9
10,,2007,,,2016,용산씨제이나인파크,문배동,"35,000",용산구,1,0,30,54.96,,,24-6,11170,11
11,,2005,,,2016,용산파크자이,한강로1가,"6,000",용산구,1,85,6,39.03,,,50-1,11170,32
12,,2005,,,2016,용산파크자이,한강로1가,"13,000",용산구,1,45,9,33.6,,,50-1,11170,23
13,,2007,,,2016,대우 월드마크 용산,한강로1가,"30,000",용산구,1,70,23,79.65,,,64,11170,17
14,,2005,,,2016,용산파크자이,한강로1가,"27,000",용산구,1,0,25,39.03,,,50-1,11170,16
15,,2005,,,2016,한강현대하이엘,한강로2가,"12,000",용산구,1,0,4,40.28,,,2-36,11170,13
16,,2005,,,2016,한강로벽산메가트리움,한강로2가,"20,000",용산구,1,0,5,30.06,,,2-8,11170,21
17,,2004,,,2016,한강로 대우아이빌,한강로2가,"4,000",용산구,1,60,6,34.83,,,2-11,11170,6
18,,2005,,,2016,한강로벽산메가트리움,한강로2가,"19,000",용산구,1,0,9,29.54,,,2-8,11170,11
19,,2012,,,2016,아스테리움 용산,한강로2가,"25,000",용산구,1,50,12,49.85,,,419,11170,19
20,,2004,,,2016,대우디오빌한강로오피스텔,한강로2가,"5,000",용산구,1,80,18,33.95,,,312-4,11170,3
21,,2005,,,2016,한강현대하이엘,한강로2가,"3,000",용산구,1,60,22,30.03,,,2-36,11170,7
22,,2005,,,2016,한강현대하이엘,한강로2가,"20,000",용산구,1,0,23,41.82,,,2-36,11170,10
23,,2006,,,2016,지에스 한강에클라스,한강로3가,"15,000",용산구,1,0,21,35.06,,,16-85,11170,7
24,,2007,,,2016,용산 시티파크(63-389),한강로3가,"2,000",용산구,1,150,23,48.05,,,63-389,11170,8
25,,2006,,,2016,지에스 한강에클라스,한강로3가,"18,000",용산구,1,0,25,40.86,,,16-85,11170,9
26,,2004,,,2016,한강대우트럼프월드3,한강로3가,"2,000",용산구,1,65,29,25.52,,,65-230,11170,9
0,,1990,,,2016,(339-4),후암동,"6,000",용산구,2,10,16,34.38,,,339-4,11170,2
1,,1990,,,2016,(339-4),후암동,"3,000",용산구,2,40,17,34.38,,,339-4,11170,2
2,,1990,,,2016,(339-4),후암동,"1,000",용산구,2,45,23,34.38,,,339-4,11170,2
3,,2004,,,2016,그린빌파크,갈월동,"2,000",용산구,2,47,27,24.92,,,53-19,11170,4
4,,2004,,,2016,서울역풍림아이원플러스,서계동,"15,000",용산구,2,0,18,27.95,,,219-17,11170,4
5,,2004,,,2016,디아뜨 센트럴,원효로1가,"1,000",용산구,2,65,2,25.5,,,112-4,11170,13
6,,2004,,,2016,디아뜨 센트럴,원효로1가,"1,000",용산구,2,65,2,25.5,,,112-4,11170,6
7,,2015,,,2016,용산KCC웰츠타워,문배동,"1,000",용산구,2,90,11,29.97,,,11-10,11170,6
8,,2015,,,2016,용산KCC웰츠타워,문배동,"1,000",용산구,2,85,16,29.97,,,11-10,11170,4
9,,2013,,,2016,용산큐브,문배동,"5,000",용산구,2,50,17,17.46,,,24-4,11170,13
10,,2007,,,2016,이안용산프리미어,문배동,"35,500",용산구,2,0,19,66.24,,,3-3,11170,2
11,,2015,,,2016,용산KCC웰츠타워,문배동,"31,000",용산구,2,0,20,38.95,,,11-10,11170,7
12,,2007,,,2016,이안용산프리미어,문배동,"20,000",용산구,2,90,24,84.51,,,3-3,11170,2
13,,2007,,,2016,용산씨제이나인파크,문배동,"3,000",용산구,2,155,24,68.41,,,24-6,11170,10
14,,2007,,,2016,이안용산프리미어,문배동,"25,000",용산구,2,55,26,72.99,,,3-3,11170,7
15,,2015,,,2016,용산KCC웰츠타워,문배동,"8,000",용산구,2,50,26,27.46,,,11-10,11170,5
16,,2007,,,2016,대우 월드마크 용산,한강로1가,"50,000",용산구,2,0,5,86.38,,,64,11170,22
17,,2005,,,2016,용산파크자이,한강로1가,"21,000",용산구,2,0,13,28.46,,,50-1,11170,9
18,,2005,,,2016,용산파크자이,한강로1가,"23,000",용산구,2,0,13,36.13,,,50-1,11170,6
19,,2005,,,2016,용산파크자이,한강로1가,"12,000",용산구,2,60,20,37.26,,,50-1,11170,5
20,,2005,,,2016,용산파크자이,한강로1가,"28,000",용산구,2,0,22,50.31,,,50-1,11170,4
21,,2005,,,2016,용산파크자이,한강로1가,"27,000",용산구,2,0,26,50.31,,,50-1,11170,12
22,,2005,,,2016,용산파크자이,한강로1가,"26,000",용산구,2,0,27,39.03,,,50-1,11170,10
23,,2005,,,2016,한강로벽산메가트리움,한강로2가,"19,000",용산구,2,5,1,30.35,,,2-8,11170,28
24,,2005,,,2016,한강로벽산메가트리움,한강로2가,"20,000",용산구,2,0,1,30.06,,,2-8,11170,21
25,,2005,,,2016,한강로벽산메가트리움,한강로2가,"17,000",용산구,2,0,6,30.35,,,2-8,11170,24
26,,2005,,,2016,한강로벽산메가트리움,한강로2가,"5,000",용산구,2,65,20,33.02,,,2-8,11170,6
27,,2005,,,2016,한강현대하이엘,한강로2가,"18,000",용산구,2,0,22,42.32,,,2-36,11170,15
28,,2004,,,2016,한강대우트럼프월드3,한강로3가,"50,000",용산구,2,0,1,105.4,,,65-230,11170,30
29,,2004,,,2016,한강대우트럼프월드3,한강로3가,"10,000",용산구,2,55,1,30.91,,,65-230,11170,29
30,,2004,,,2016,한강대우트럼프월드3,한강로3가,"7,000",용산구,2,80,5,39.7,,,65-230,11170,21
31,,2007,,,2016,용산 시티파크(63-387),한강로3가,"32,000",용산구,2,0,13,60.48,,,63-387,11170,4
32,,2004,,,2016,한강대우트럼프월드3,한강로3가,"18,000",용산구,2,0,22,25.59,,,65-230,11170,15
33,,2007,,,2016,용산 시티파크(63-389),한강로3가,"53,000",용산구,2,0,24,81.7,,,63-389,11170,6
0,,2013,,,2016,센트레빌아스테리움서울,동자동,"30,000",용산구,3,0,5,47.39,,,45,11170,7
1,,1990,,,2016,(1),원효로2가,"1,000",용산구,3,50,10,22.03,,,1,11170,4
2,,2007,,,2016,이안용산프리미어,문배동,"8,000",용산구,3,70,1,47.51,,,3-3,11170,3
3,,2007,,,2016,용산아크로타워,문배동,"30,000",용산구,3,0,4,51.45,,,24-21,11170,7
