,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2004,,,2016,경희궁의 아침 2단지,내수동,"34,000",종로구,1,0,7,57.8,,,71,11110,14
1,,2004,,,2016,용비어천가,내수동,"19,000",종로구,1,0,8,30.36,,,75,11110,13
2,,2004,,,2016,용비어천가,내수동,"15,000",종로구,1,60,9,45.98,,,75,11110,10
3,,2004,,,2016,경희궁의 아침 4단지,내수동,"1,000",종로구,1,75,21,28.24,,,73,11110,8
4,,2004,,,2016,광화문시대,내수동,"21,000",종로구,1,0,23,35.71,,,74,11110,10
5,,2004,,,2016,경희궁의 아침 3단지,내수동,"23,000",종로구,1,0,27,37.5,,,72,11110,4
6,,2005,,,2016,운현궁 에스케이 허브,경운동,"1,000",종로구,1,90,18,39.2,,,89-4,11110,8
7,,1994,,,2016,종로오피스텔,낙원동,"2,500",종로구,1,40,18,29.7,,,58-1,11110,11
8,,2003,,,2016,코윈 팔레스뷰 오피스텔,원남동,"3,000",종로구,1,50,6,24.03,,,95,11110,8
9,,2003,,,2016,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,1,55,16,21.01,,,95,11110,10
10,,2003,,,2016,코윈 팔레스뷰 오피스텔,원남동,"1,000",종로구,1,55,18,24.03,,,95,11110,3
11,,2015,,,2016,아르젠종로,연지동,"1,000",종로구,1,65,4,18.33,,,163-3,11110,8
12,,2015,,,2016,아르젠종로,연지동,"1,000",종로구,1,65,8,18.33,,,163-3,11110,7
13,,2015,,,2016,아르젠종로,연지동,"1,000",종로구,1,60,14,15.83,,,163-3,11110,9
14,,2015,,,2016,아르젠종로,연지동,"1,000",종로구,1,60,15,15.89,,,163-3,11110,9
15,,2015,,,2016,아르젠종로,연지동,"3,000",종로구,1,50,16,15.76,,,163-3,11110,8
16,,2003,,,2016,연지드림빌,연지동,"11,000",종로구,1,0,19,38.32,,,275-1,11110,4
17,,2015,,,2016,아르젠종로,연지동,"5,000",종로구,1,20,27,15.76,,,163-3,11110,6
18,,2015,,,2016,아르젠종로,연지동,"1,000",종로구,1,55,29,15.83,,,163-3,11110,4
19,,2015,,,2016,아르젠종로,연지동,"1,000",종로구,1,60,30,15.83,,,163-3,11110,7
20,,2003,,,2016,반도 보라 아이비 타워,효제동,"1,000",종로구,1,70,16,30.7,,,45,11110,6
21,,2003,,,2016,반도 보라 아이비 타워,효제동,"9,000",종로구,1,0,18,32.27,,,45,11110,8
22,,2003,,,2016,반도 보라 아이비 타워,효제동,"1,000",종로구,1,65,18,22.72,,,45,11110,8
23,,2003,,,2016,반도 보라 아이비 타워,효제동,"3,000",종로구,1,45,23,26.58,,,45,11110,6
24,,2001,,,2016,대보마로니에텔,연건동,"14,000",종로구,1,0,12,35.7,,,206,11110,12
25,,2003,,,2016,세레피아텔,연건동,"6,000",종로구,1,40,16,27.92,,,317,11110,6
26,,2001,,,2016,제일빌딩,연건동,"2,000",종로구,1,55,20,30.58,,,198-7,11110,9
27,,2001,,,2016,대보마로니에텔,연건동,"2,500",종로구,1,45,21,26.52,,,206,11110,2
28,,2014,,,2016,이화에수풀,연건동,"1,000",종로구,1,60,27,21.49,,,195-10,11110,3
29,,2001,,,2016,대보마로니에텔,연건동,"1,000",종로구,1,65,30,26.52,,,206,11110,7
30,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,5,21.62,,,1396,11110,15
31,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,5,21.59,,,1396,11110,14
32,,2004,,,2016,롯데캐슬 천지인,숭인동,"18,000",종로구,1,0,6,39.6,,,76,11110,10
33,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,1,60,6,21.36,,,1396,11110,14
34,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,6,21.62,,,1396,11110,9
35,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,6,21.59,,,1396,11110,15
36,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,7,21.62,,,1396,11110,11
37,,2004,,,2016,롯데캐슬 천지인,숭인동,"1,000",종로구,1,85,7,39.6,,,76,11110,7
38,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,7,21.59,,,1396,11110,12
39,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,1,60,7,21.36,,,1396,11110,14
40,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"1,000",종로구,1,60,7,21.36,,,1396,11110,15
41,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,9,21.59,,,1396,11110,15
42,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,9,21.62,,,1396,11110,15
43,,2005,,,2016,경일오피스텔,숭인동,"2,000",종로구,1,40,9,22.55,,,1367,11110,13
44,,2004,,,2016,롯데캐슬 천지인,숭인동,"2,000",종로구,1,70,9,39.6,,,76,11110,4
45,,2012,,,2016,삼전솔하임2차,숭인동,"3,000",종로구,1,40,11,19.18,,,296-19,11110,3
46,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,11,21.62,,,1396,11110,12
47,,2016,,,2016,아이비씨 호텔 앤 오피스텔,숭인동,"12,000",종로구,1,0,11,21.45,,,1396,11110,9
