,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2003,,,2016,정건벨라지오오피스텔,을지로5가,"2,000",중구,1,50,4,29.45,,,20-1,11140,8
1,,2003,,,2016,정건벨라지오오피스텔,을지로5가,"3,000",중구,1,30,6,21.94,,,20-1,11140,13
2,,2014,,,2016,코발트팰리스,오장동,"1,000",중구,1,65,12,20.36,,,90-24,11140,12
3,,2013,,,2016,엘크루 메트로시티,충무로3가,"25,000",중구,1,0,9,36.53,,,49,11140,8
4,,2003,,,2016,(340-123),신당동,"12,000",중구,1,0,5,22.4,,,340-123,11140,3
5,,2004,,,2016,JK오피스텔,신당동,"8,500",중구,1,0,6,22.13,,,353-22,11140,5
6,,2015,,,2016,승리빌딩,신당동,"4,000",중구,1,45,12,21.09,,,309-45,11140,6
7,,2015,,,2016,승리빌딩,신당동,"1,000",중구,1,60,16,18.78,,,309-45,11140,4
8,,2015,,,2016,승리빌딩,신당동,"6,000",중구,1,35,16,21.09,,,309-45,11140,4
9,,2003,,,2016,(340-123),신당동,"12,000",중구,1,0,27,20.89,,,340-123,11140,3
10,,2006,,,2016,(340-73),신당동,"15,000",중구,1,0,28,35.6,,,340-73,11140,8
11,,2013,,,2016,(91),흥인동,500,중구,1,60,5,20.09,,,91,11140,10
12,,2014,,,2016,청계천 두산위브더제니스,흥인동,"26,000",중구,1,0,7,39.33,,,13-1,11140,26
13,,2014,,,2016,청계천 두산위브더제니스,흥인동,"2,000",중구,1,130,12,46.23,,,13-1,11140,9
14,,2014,,,2016,청계천 두산위브더제니스,흥인동,"5,000",중구,1,100,14,46.74,,,13-1,11140,11
15,,2014,,,2016,청계천 두산위브더제니스,흥인동,"2,000",중구,1,110,15,34.61,,,13-1,11140,18
16,,2013,,,2016,(91),흥인동,"3,000",중구,1,45,16,20.09,,,91,11140,9
17,,2013,,,2016,(91),흥인동,"1,000",중구,1,55,16,20.2,,,91,11140,8
18,,2013,,,2016,(91),흥인동,"1,000",중구,1,60,16,20.98,,,91,11140,13
19,,2014,,,2016,동대문 와이즈 캐슬,흥인동,"2,000",중구,1,60,28,19.92,,,119,11140,4
20,,2004,,,2016,신당역올리브2,황학동,500,중구,1,60,4,26.47,,,2484,11140,12
21,,2014,,,2016,DUO302,황학동,"5,000",중구,1,70,6,22.52,,,819,11140,19
22,,2004,,,2016,올리브1,황학동,"3,000",중구,1,45,6,25.05,,,808,11140,13
23,,2014,,,2016,DUO302,황학동,"1,000",중구,1,65,6,22.52,,,819,11140,6
24,,2004,,,2016,신당역올리브2,황학동,"3,000",중구,1,40,7,23.82,,,2484,11140,14
25,,2013,,,2016,한양 I-Class,황학동,"1,000",중구,1,55,10,19.05,,,787,11140,2
26,,2015,,,2016,(1546),황학동,"19,000",중구,1,0,11,40.07,,,1546,11140,2
27,,2015,,,2016,(1546),황학동,"19,500",중구,1,0,11,40.07,,,1546,11140,4
28,,2013,,,2016,한양 I-Class,황학동,"1,000",중구,1,55,12,19.05,,,787,11140,2
29,,2015,,,2016,(1546),황학동,"19,500",중구,1,0,13,39.57,,,1546,11140,2
30,,2015,,,2016,골드캐슬Ⅰ,황학동,"19,000",중구,1,0,13,40.61,,,1725,11140,3
31,,2004,,,2016,신당역올리브2,황학동,"1,000",중구,1,55,14,23.82,,,2484,11140,10
32,,2013,,,2016,한양 I-Class,황학동,"2,000",중구,1,50,15,19.05,,,787,11140,8
33,,2015,,,2016,(1546),황학동,"19,500",중구,1,0,15,40.74,,,1546,11140,3
34,,2013,,,2016,한양 I-Class,황학동,"12,000",중구,1,0,15,19.05,,,787,11140,9
35,,2015,,,2016,(1546),황학동,"20,000",중구,1,0,15,40.74,,,1546,11140,2
36,,2013,,,2016,한양 I-Class,황학동,"17,000",중구,1,0,19,29.64,,,787,11140,7
37,,2004,,,2016,올리브1,황학동,"1,000",중구,1,55,20,25.05,,,808,11140,5
38,,2013,,,2016,한양 I-Class,황학동,"3,000",중구,1,45,22,19.05,,,787,11140,9
39,,2013,,,2016,한양 I-Class,황학동,"4,000",중구,1,40,22,19.05,,,787,11140,10
